1,
0, 2786, 4,
1.1598049576e+00, 4.0054712338e+01, 5.6520721163e-02, 2.5081996745e+05, 
1.1595490316e+00, 4.0282606457e+01, 1.0773330764e-01, 2.5073239604e+05, 
1.1595534871e+00, 4.0272382014e+01, 6.1026743359e-02, 2.5073532319e+05, 
1.1595239681e+00, 4.0267986433e+01, 3.6988897732e-02, 2.5072893499e+05, 
1.1595019549e+00, 4.0269243293e+01, 2.3595618660e-02, 2.5072299140e+05, 
1.1594852697e+00, 4.0270993531e+01, 1.5842535592e-02, 2.5071853612e+05, 
1.1594731557e+00, 4.0273214129e+01, 1.1102062440e-02, 2.5071519299e+05, 
1.1594640912e+00, 4.0275604282e+01, 8.2277409111e-03, 2.5071261921e+05, 
1.1594563628e+00, 4.0277813473e+01, 6.5182720105e-03, 2.5071040560e+05, 
1.1594494078e+00, 4.0279881534e+01, 5.4496462504e-03, 2.5070840333e+05, 
1.1594429153e+00, 4.0281859626e+01, 4.7553466335e-03, 2.5070652664e+05, 
1.1594364471e+00, 4.0283845834e+01, 4.2649585529e-03, 2.5070465905e+05, 
1.1594306282e+00, 4.0285614577e+01, 4.1246439919e-03, 2.5070296801e+05, 
1.1594224212e+00, 4.0288070963e+01, 3.8443927096e-03, 2.5070062070e+05, 
1.1596793596e+00, 3.9945549454e+01, 6.2430829254e-02, 2.5079034717e+05, 
1.1594781491e+00, 4.0299340637e+01, 1.3995345043e-01, 2.5071795752e+05, 
1.1594814014e+00, 4.0308993259e+01, 1.1263803420e-01, 2.5072171113e+05, 
1.1594982309e+00, 4.0288292297e+01, 7.5484365314e-02, 2.5072301740e+05, 
1.1594871604e+00, 4.0280130081e+01, 5.0158789962e-02, 2.5071982945e+05, 
1.1594772485e+00, 4.0277147960e+01, 3.4260892895e-02, 2.5071680643e+05, 
1.1594687298e+00, 4.0276845844e+01, 2.4841923156e-02, 2.5071423590e+05, 
1.1594613775e+00, 4.0277656242e+01, 1.9258124888e-02, 2.5071202238e+05, 
1.1594545991e+00, 4.0279045173e+01, 1.5839647545e-02, 2.5071000891e+05, 
1.1594481009e+00, 4.0280698503e+01, 1.3580832142e-02, 2.5070810338e+05, 
1.1594418761e+00, 4.0282432254e+01, 1.2016094581e-02, 2.5070628282e+05, 
1.1594355575e+00, 4.0284222459e+01, 1.0912869323e-02, 2.5070444929e+05, 
1.1594301230e+00, 4.0285779229e+01, 1.0436413583e-02, 2.5070283519e+05, 
1.1594222794e+00, 4.0288069757e+01, 9.7041408549e-03, 2.5070058509e+05, 
1.1596174309e+00, 3.9815575600e+01, 6.0522798598e-02, 2.5077613919e+05, 
