0, 2000, 4,
1.1589113209e+00, 3.7265548012e+01, 5.6517015980e-02, 2.5065877969e+05, 
1.1572342352e+00, 1.7535533724e+00, 1.0824486679e-04, 2.4999765501e+05, 
1.1594195822e+00, 4.0292797016e+01, -3.4033051805e-02, 2.5069998407e+05, 
1.1594217552e+00, 4.0289088355e+01, 1.1721351777e-01, 2.5070046085e+05, 
1.1585197699e+00, 3.3398083758e+01, 7.0650532133e-02, 2.5055968009e+05, 
1.1576418766e+00, 2.5781352050e+01, 7.1717673796e-02, 2.5035698501e+05, 
1.1569302350e+00, 1.9930788179e+01, 4.5963135556e-02, 2.5020860199e+05, 
1.1566134174e+00, 1.6535552244e+01, 2.8362857886e-02, 2.5014198500e+05, 
1.1564737761e+00, 1.4267823949e+01, 2.0961079540e-02, 2.5010615407e+05, 
1.1564007991e+00, 1.2507802479e+01, 1.6787332588e-02, 2.5008222616e+05, 
1.1563664250e+00, 1.1071009629e+01, 1.3839104766e-02, 2.5006498143e+05, 
1.1563572450e+00, 9.8747234904e+00, 1.1580984469e-02, 2.5005212913e+05, 
1.1563642614e+00, 8.8673961608e+00, 9.7801049548e-03, 2.5004233757e+05, 
1.1563822972e+00, 8.0131735756e+00, 8.3053410003e-03, 2.5003475839e+05, 
1.1564081520e+00, 7.2858411956e+00, 7.0759823754e-03, 2.5002881800e+05, 
1.1564388594e+00, 6.6654657483e+00, 6.0378928253e-03, 2.5002411048e+05, 
1.1564719427e+00, 6.1362888598e+00, 5.1504624956e-03, 2.5002035550e+05, 
1.1565055932e+00, 5.6850834853e+00, 4.3832717092e-03, 2.5001738065e+05, 
1.1565384508e+00, 5.3001868574e+00, 3.7355105743e-03, 2.5001501891e+05, 
1.1565698116e+00, 4.9711874462e+00, 3.1850612851e-03, 2.5001315367e+05, 
1.1565991988e+00, 4.6888654023e+00, 2.7403453536e-03, 2.5001163337e+05, 
1.1566265057e+00, 4.4453063368e+00, 2.3804357752e-03, 2.5001036686e+05, 
1.1566519283e+00, 4.2338778890e+00, 2.0670278420e-03, 2.5000933475e+05, 
1.1566755701e+00, 4.0491147434e+00, 1.8074170292e-03, 2.5000848643e+05, 
1.1566974695e+00, 3.8865659086e+00, 1.6020842280e-03, 2.5000775529e+05, 
1.1567178203e+00, 3.7426202788e+00, 1.4259953301e-03, 2.5000712905e+05, 
1.1567368538e+00, 3.6143476613e+00, 1.2694776505e-03, 2.5000661536e+05, 
1.1567545689e+00, 3.4993532424e+00, 1.1437239459e-03, 2.5000615953e+05, 
1.1567711068e+00, 3.3956750597e+00, 1.0314778846e-03, 2.5000575661e+05, 
1.1567866489e+00, 3.3016960276e+00, 9.3160017212e-04, 2.5000541904e+05, 
1.1568012271e+00, 3.2160713887e+00, 8.5418649445e-04, 2.5000511874e+05, 
1.1568148928e+00, 3.1376774795e+00, 7.8873275677e-04, 2.5000483860e+05, 
1.1568278262e+00, 3.0655726514e+00, 7.2247321221e-04, 2.5000460476e+05, 
1.1568400254e+00, 2.9989645620e+00, 6.6912629161e-04, 2.5000439177e+05, 
1.1568515473e+00, 2.9371852762e+00, 6.2272190504e-04, 2.5000419479e+05, 
1.1568624692e+00, 2.8796706746e+00, 5.8038389352e-04, 2.5000401799e+05, 
1.1568728212e+00, 2.8259418101e+00, 5.4339546686e-04, 2.5000385415e+05, 
1.1568826699e+00, 2.7755920792e+00, 5.0790231359e-04, 2.5000370912e+05, 
1.1568920242e+00, 2.7282742161e+00, 4.8048230151e-04, 2.5000357240e+05, 
1.1569009365e+00, 2.6836891527e+00, 4.5391811750e-04, 2.5000344772e+05, 
1.1569094512e+00, 2.6415763775e+00, 4.2582915521e-04, 2.5000333729e+05, 
1.1569175505e+00, 2.6017073388e+00, 4.0482564081e-04, 2.5000322553e+05, 
1.1569253075e+00, 2.5638826623e+00, 3.8421408561e-04, 2.5000312513e+05, 
1.1569327440e+00, 2.5279271347e+00, 3.6540826944e-04, 2.5000303397e+05, 
1.1569398660e+00, 2.4936865486e+00, 3.4905180172e-04, 2.5000294560e+05, 
1.1569467102e+00, 2.4610262043e+00, 3.3299500420e-04, 2.5000286332e+05, 
1.1569532991e+00, 2.4298279332e+00, 3.1820294988e-04, 2.5000278640e+05, 
1.1569596528e+00, 2.3999880381e+00, 3.0460913090e-04, 2.5000271352e+05, 
1.1569657956e+00, 2.3714155398e+00, 2.9185185208e-04, 2.5000264464e+05, 
1.1569717512e+00, 2.3440302121e+00, 2.7989007141e-04, 2.5000257939e+05, 
1.1569775439e+00, 2.3177612625e+00, 2.6860148782e-04, 2.5000251743e+05, 
1.1569831989e+00, 2.2925462101e+00, 2.5791406710e-04, 2.5000245866e+05, 
1.1569887408e+00, 2.2683297144e+00, 2.4779520158e-04, 2.5000240265e+05, 
1.1569941948e+00, 2.2450623674e+00, 2.3822498345e-04, 2.5000234936e+05, 
1.1569995869e+00, 2.2226997878e+00, 2.2905757026e-04, 2.5000229918e+05, 
1.1570049298e+00, 2.2012021823e+00, 2.2087929554e-04, 2.5000224909e+05, 
