1,
0, 3139, 4,
1.1557180277e+00, 2.0339410907e+02, -8.3621426714e+00, 2.6682228709e+05, 
1.1559341857e+00, 2.0314728654e+02, 8.6650861443e+00, 2.6684980365e+05, 
1.1414175556e+00, 2.1058497094e+02, 5.4179448459e-01, 2.6399920524e+05, 
1.1588502957e+00, 2.0177367579e+02, -6.1920305766e-01, 2.6739587076e+05, 
1.1591763204e+00, 2.0162040768e+02, 5.7722046207e-01, 2.6746087274e+05, 
1.1576788112e+00, 2.0249570491e+02, -7.9741377581e+00, 2.6721289107e+05, 
1.1579033126e+00, 2.0223632270e+02, 8.2376097927e+00, 2.6724298597e+05, 
1.1507477639e+00, 2.0581391404e+02, -1.6286539287e+00, 2.6579879457e+05, 
1.1590736872e+00, 2.0158855443e+02, 7.7289303058e-02, 2.6742591513e+05, 
1.1588898805e+00, 2.0169318036e+02, -9.9719529079e-02, 2.6739169409e+05, 
1.1545653765e+00, 2.0391340623e+02, 1.0366071659e+00, 2.6654388252e+05, 
1.1543012173e+00, 2.0403406643e+02, -1.0074897453e+00, 2.6649038565e+05, 
1.1572998248e+00, 2.0252509591e+02, -5.0435913869e-01, 2.6708004845e+05, 
1.1576180031e+00, 2.0236404941e+02, 5.0191309481e-01, 2.6714270354e+05, 
1.1520501950e+00, 2.0522989075e+02, -2.0289676351e+00, 2.6605892407e+05, 
1.1522660558e+00, 2.0512862537e+02, 2.1074300414e+00, 2.6610242559e+05, 
1.1573225637e+00, 2.0249542991e+02, -3.9813140086e-01, 2.6708417292e+05, 
1.1576512733e+00, 2.0233776151e+02, 4.0005016358e-01, 2.6714785644e+05, 
1.1447552669e+00, 2.0893578063e+02, 2.9395895984e+00, 2.6464856001e+05, 
1.1579619379e+00, 2.0222817416e+02, -8.6047140167e-01, 2.6721846779e+05, 
1.1583105515e+00, 2.0205677467e+02, 8.5541090805e-01, 2.6728709312e+05, 
1.1596722725e+00, 2.0141677676e+02, 2.7055292135e-01, 2.6756755536e+05, 
1.1593125433e+00, 2.0155845674e+02, -3.9204948799e-01, 2.6749455354e+05, 
1.1367291465e+00, 2.1135249538e+02, -1.4529530594e+01, 2.6306648805e+05, 
1.1454175437e+00, 2.0811842324e+02, 1.2850496784e+01, 2.6483386583e+05, 
1.1458257459e+00, 2.0817703985e+02, -1.2605885654e+01, 2.6490141839e+05, 
1.1350799616e+00, 2.1329062954e+02, 7.7572633121e+00, 2.6279723970e+05, 
1.1369439420e+00, 2.1205847297e+02, -1.3218964284e+01, 2.6310510441e+05, 
1.1276875881e+00, 2.1620602489e+02, 6.7729580638e+00, 2.6125111353e+05, 
1.1608503602e+00, 2.0087844897e+02, -2.2803714253e+00, 2.6781888182e+05, 
1.1613824141e+00, 2.0060179026e+02, 2.2829686973e+00, 2.6792475923e+05, 
1.1276243254e+00, 2.1643805015e+02, 5.2809356765e+00, 2.6125297851e+05, 
1.1511488595e+00, 2.0562139065e+02, -3.2126615734e-01, 2.6587023314e+05, 
1.1611236645e+00, 2.0079016507e+02, -2.0408472924e+00, 2.6787726198e+05, 
1.1615240799e+00, 2.0056100601e+02, 2.0266379464e+00, 2.6795474984e+05, 
1.1602021432e+00, 2.0126452355e+02, 2.8806171652e-01, 2.6769361283e+05, 
1.1597163891e+00, 2.0150283020e+02, -3.8305324691e-01, 2.6759548319e+05, 
1.1589239937e+00, 2.0171189804e+02, 4.0908314533e-01, 2.6740416821e+05, 
1.1586333490e+00, 2.0186390270e+02, -4.3995853297e-01, 2.6734701133e+05, 
1.1595307540e+00, 2.0156376589e+02, -4.5662655974e-01, 2.6755109371e+05, 
1.1599498130e+00, 2.0133782218e+02, 3.5775278421e-01, 2.6763364731e+05, 
1.1510663497e+00, 2.0556679111e+02, -2.1402305049e-01, 2.6584762112e+05, 
