0, 1652, 4,
0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 
1.1807193442e+00, 1.7974746535e+02, -1.5533818676e+01, 2.7133097794e+05, 
1.1581182092e+00, 1.9916995194e+02, -2.1210311101e-02, 2.6715763582e+05, 
1.1593275625e+00, 2.0161838406e+02, -1.7550815548e-02, 2.6751051169e+05, 
1.1598822273e+00, 2.0136545573e+02, 2.1161828929e-03, 2.6761868790e+05, 
1.1608531403e+00, 2.0119276421e+02, 2.7812837130e-03, 2.6786781262e+05, 
1.1972506421e+00, 1.8656442192e+02, 1.1658413172e+01, 2.7530715126e+05, 
1.1860820685e+00, 1.9392750361e+02, 2.2978067148e+01, 2.7319826166e+05, 
1.1663050700e+00, 2.0208930628e+02, 2.5410394373e+01, 2.6920340126e+05, 
1.1533938197e+00, 2.0717793381e+02, 2.3309341535e+01, 2.6658075704e+05, 
1.1431891235e+00, 2.1061586407e+02, 2.1023720120e+01, 2.6448423950e+05, 
1.1344972079e+00, 2.1286565695e+02, 1.8532209037e+01, 2.6266610866e+05, 
1.1290915341e+00, 2.1458328541e+02, 1.5303341848e+01, 2.6154855542e+05, 
1.1239194498e+00, 2.1606690421e+02, 1.2203504947e+01, 2.6047445542e+05, 
1.1208575627e+00, 2.1713676883e+02, 9.0500471887e+00, 2.5984778192e+05, 
1.1183093976e+00, 2.1766441671e+02, 5.6267801789e+00, 2.5930731278e+05, 
1.1158373775e+00, 2.1747715209e+02, 2.2136927180e+00, 2.5874698535e+05, 
1.1151185609e+00, 2.1678445539e+02, -7.3567003029e-01, 2.5854888383e+05, 
1.1165422281e+00, 2.1615038822e+02, -3.9568119200e+00, 2.5883046691e+05, 
1.1163429949e+00, 2.1493744161e+02, -7.4050777809e+00, 2.5872434772e+05, 
1.1190180025e+00, 2.1341532078e+02, -1.0729919648e+01, 2.5924057291e+05, 
1.1220679871e+00, 2.1150529574e+02, -1.3411221631e+01, 2.5982014303e+05, 
1.1267747692e+00, 2.0904712255e+02, -1.6604849327e+01, 2.6074357323e+05, 
1.1306625217e+00, 2.0573182355e+02, -1.9353668186e+01, 2.6144347001e+05, 
1.1373481683e+00, 2.0155998830e+02, -2.1516138656e+01, 2.6272373862e+05, 
1.1469625367e+00, 1.9643102543e+02, -2.4095729375e+01, 2.6461874756e+05, 
1.1590886743e+00, 1.8786940778e+02, -2.3260978351e+01, 2.6690660132e+05, 
1.1843087635e+00, 1.8634012594e+02, -4.1469308805e+00, 2.7238993794e+05, 
1.1746243442e+00, 1.9124230078e+02, -9.6376444190e-01, 2.7045170139e+05, 
1.1691324101e+00, 1.9349603488e+02, -6.3134402609e-01, 2.6933452839e+05, 
1.1657609139e+00, 1.9479593028e+02, -3.3201714729e-01, 2.6864599561e+05, 
1.1631348824e+00, 1.9542564903e+02, -2.1883860339e-01, 2.6809188155e+05, 
1.1620517645e+00, 1.9597894145e+02, -2.0991973241e-01, 2.6787753837e+05, 
1.1612318665e+00, 1.9649852828e+02, -2.1072935323e-01, 2.6772027131e+05, 
1.1604453880e+00, 1.9705186009e+02, -2.1604171864e-01, 2.6757209657e+05, 
1.1600631001e+00, 1.9740313290e+02, -8.3629912465e-02, 2.6750410986e+05, 
1.1595939052e+00, 1.9773772037e+02, -1.3421311916e-01, 2.6741599615e+05, 
1.1592327688e+00, 1.9796067411e+02, -6.0302019133e-02, 2.6734655034e+05, 
1.1589932583e+00, 1.9818725451e+02, -8.2841000033e-02, 2.6730431178e+05, 
1.1587758564e+00, 1.9836164024e+02, -5.4358002720e-02, 2.6726448776e+05, 
1.1586073655e+00, 1.9854866024e+02, -6.5471153259e-02, 2.6723611812e+05, 
1.1584956732e+00, 1.9866850577e+02, -3.0278848702e-02, 2.6721713645e+05, 
1.1583969573e+00, 1.9878616906e+02, -5.2922469472e-02, 2.6720092971e+05, 
1.1582873431e+00, 1.9892130536e+02, -4.8126155103e-02, 2.6718312764e+05, 
1.1582167639e+00, 1.9898683307e+02, -1.9302412376e-02, 2.6717063650e+05, 
1.1581563290e+00, 1.9910695825e+02, -4.5360583558e-02, 2.6716303330e+05, 
1.1580925103e+00, 1.9925339361e+02, -6.9667146584e-02, 2.6715590331e+05, 
1.1582965018e+00, 1.9968704719e+02, -1.3813505207e-01, 2.6722195118e+05, 
1.1587012323e+00, 2.0034190763e+02, -2.0254225436e-01, 2.6734298862e+05, 
1.1589465798e+00, 2.0084400473e+02, -2.5417825732e-01, 2.6742095148e+05, 
1.1591846109e+00, 2.0130894718e+02, -2.7574372532e-01, 2.6749494056e+05, 
1.1593920708e+00, 2.0168833941e+02, -2.6574892525e-01, 2.6755683936e+05, 
1.1594501217e+00, 2.0182266795e+02, -2.7258878031e-01, 2.6757367739e+05, 
1.1594552346e+00, 2.0182751840e+02, -2.8363566152e-01, 2.6757264398e+05, 
1.1594168445e+00, 2.0175934230e+02, -2.8988113519e-01, 2.6755766776e+05, 
1.1593846522e+00, 2.0170607180e+02, -2.9075332786e-01, 2.6754542247e+05, 
1.1593633720e+00, 2.0166688807e+02, -2.8953428372e-01, 2.6753584307e+05, 
1.1593549367e+00, 2.0165771354e+02, -2.7936423496e-01, 2.6753072442e+05, 
1.1593606811e+00, 2.0167032614e+02, -2.6004244105e-01, 2.6753009065e+05, 
1.1593739737e+00, 2.0169986204e+02, -2.3803447755e-01, 2.6753222071e+05, 
1.1593711207e+00, 2.0171377814e+02, -2.0446432251e-01, 2.6753001565e+05, 
1.1593739288e+00, 2.0170055890e+02, -1.6375222628e-01, 2.6752827897e+05, 
1.1593651313e+00, 2.0168126723e+02, -1.2804455670e-01, 2.6752401760e+05, 
1.1593444190e+00, 2.0164191581e+02, -8.4809607752e-02, 2.6751621153e+05, 
1.1593301360e+00, 2.0162130803e+02, -4.6421691231e-02, 2.6751135721e+05, 
1.1592749608e+00, 2.0165074060e+02, -1.7260613336e-02, 2.6750041564e+05, 
