1,
0, 3131, 4,
1.1396034316e+00, 1.1967182004e+03, -7.8266280199e+00, 8.7327247959e+05, 
2.3409611806e+00, 1.8530169167e+03, 5.8210870438e+02, 1.6603446797e+06, 
3.4939156474e+00, 1.4430607533e+03, 1.0045335271e+03, 2.2379179987e+06, 
1.1594202898e+00, 1.2086643716e+03, 9.5725102708e-07, 8.7999999906e+05, 
1.1572860040e+00, 1.2067677604e+03, -8.1915300856e-01, 8.7855893163e+05, 
1.2128893953e+00, 1.2509730516e+03, 2.1131847579e+01, 9.1815094742e+05, 
3.6357212755e+00, 1.8316703038e+03, 1.1090884300e+03, 2.3621348709e+06, 
2.4252179189e+00, 1.5549120149e+03, 6.1882209842e+02, 1.6284885157e+06, 
1.1594641436e+00, 1.2086993516e+03, 1.8302725391e-02, 8.8002683310e+05, 
3.6165450405e+00, 1.7702961363e+03, 1.1414379903e+03, 2.3503818575e+06, 
4.6364251058e+00, 1.2297350943e+03, 1.9656033243e+02, 2.8602088761e+06, 
1.1594177128e+00, 1.2086619147e+03, -9.3665680678e-04, 8.7999805435e+05, 
1.1594202899e+00, 1.2086643725e+03, 2.2203523397e-10, 8.8000000001e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.5078502140e-10, 8.8000000000e+05, 
4.0784099705e+00, 1.4575715032e+03, 1.0144542892e+03, 2.5712831820e+06, 
1.1594202898e+00, 1.2086643724e+03, -3.2189293725e-09, 8.8000000000e+05, 
3.0009375956e+00, 1.8337492696e+03, 8.9495320964e+02, 2.0081499565e+06, 
3.6741531896e+00, 1.5560197694e+03, 1.0307720539e+03, 2.3473938580e+06, 
1.1594219829e+00, 1.2086651061e+03, -6.8318087336e-04, 8.8000078677e+05, 
3.5317636360e+00, 2.2097762926e+03, 1.2443672849e+03, 2.3351846683e+06, 
3.0206312204e+00, 1.7957596322e+03, 9.0585336505e+02, 2.0127320527e+06, 
3.4301999531e+00, 2.0130566451e+03, 1.1278207360e+03, 2.2948518715e+06, 
3.0033495852e+00, 1.6027264377e+03, 8.7003441478e+02, 1.9707637484e+06, 
1.1594202899e+00, 1.2086643723e+03, -6.1251597966e-09, 8.7999999984e+05, 
4.4710726791e+00, 1.4818354441e+03, 9.0906251061e+02, 2.7745702110e+06, 
3.4795689726e+00, 1.2325832368e+03, 1.0681740622e+03, 2.2137768178e+06, 
3.4894031559e+00, 1.7890106465e+03, 1.0750384463e+03, 2.2783098838e+06, 
4.4891129413e+00, 8.5699030226e+02, 4.6631814878e+02, 2.7474992651e+06, 
4.5710887803e+00, 8.3559551798e+02, 7.7000689929e+02, 2.8127742837e+06, 
4.4791742286e+00, 8.9474735562e+02, 6.7393374839e+02, 2.7518420252e+06, 
1.1594836837e+00, 1.2087387018e+03, -6.1990995809e-03, 8.8006407298e+05, 
4.8734045344e+00, 4.1212536624e+02, 3.8326538390e+02, 2.9485411149e+06, 
3.8379406108e+00, 1.0282080129e+03, 1.1268418603e+03, 2.4048237651e+06, 
3.1467659236e+00, 1.7495017035e+03, 9.1024528912e+02, 2.0774728392e+06, 
4.6626989359e+00, 3.3315214391e+02, 5.2769572577e+02, 2.8173329054e+06, 
1.7176574842e+00, 1.2734740614e+03, 3.1359567797e+02, 1.1811011418e+06, 
4.5200724602e+00, 1.1622201204e+03, 2.8413719176e+02, 2.7920220120e+06, 
1.1594202725e+00, 1.2086643587e+03, -5.8933910353e-06, 8.7999998897e+05, 
2.5179170118e+00, 1.5618013137e+03, 6.8418709478e+02, 1.6845175228e+06, 
4.0923178391e+00, 1.6701555657e+03, 1.1416561221e+03, 2.6156661786e+06, 
2.8923718183e+00, 1.6147587619e+03, 8.3963784577e+02, 1.9052979678e+06, 
1.1594364057e+00, 1.2086783149e+03, 1.1312589438e-03, 8.8001054365e+05, 
4.6453568804e+00, 8.7626232813e+02, 3.8906756237e+01, 2.8272566872e+06, 
2.9558884804e+00, 1.4731758713e+03, 8.5253225618e+02, 1.9216872781e+06, 
4.3119395377e+00, 1.1312314991e+03, 9.4610592322e+02, 2.6726387986e+06, 
3.2611327136e+00, 1.8642658866e+03, 1.0027951240e+03, 2.1596715600e+06, 
2.7189404704e+00, 1.6192134462e+03, 7.2446545970e+02, 1.8036570984e+06, 
4.4354035293e+00, 8.9542729256e+02, 3.3048867747e+02, 2.7011115419e+06, 
4.5531234117e+00, 7.5656054657e+02, 5.6731309578e+02, 2.7664383559e+06, 
4.6526019727e+00, 9.3061346753e+02, 6.6293889694e+01, 2.8462335748e+06, 
4.6869056592e+00, 9.9309204747e+02, 5.6278305122e+02, 2.8831162293e+06, 
1.1594202891e+00, 1.2086643718e+03, -5.3938136095e-07, 8.7999999948e+05, 
1.1594202899e+00, 1.2086643725e+03, 4.2094882951e-09, 8.8000000001e+05, 
1.1594202901e+00, 1.2086643726e+03, 5.1732951078e-08, 8.8000000010e+05, 
4.7123783387e+00, 5.9016115357e+02, 3.7214873241e+02, 2.8551679222e+06, 
3.1552748860e+00, 1.6011017052e+03, 9.1440428735e+02, 2.0582860130e+06, 
1.1612420244e+00, 1.2099452788e+03, 1.0766869774e+00, 8.8085997799e+05, 
2.0041078289e+00, 1.3643584668e+03, 4.4874091422e+02, 1.3583807299e+06, 
1.1593822978e+00, 1.2086143471e+03, 3.5138345112e-03, 8.7995449944e+05, 
2.4847655817e+00, 1.5109700207e+03, 6.5403140172e+02, 1.6560245658e+06, 
4.7052843807e+00, 3.8215409619e+02, 1.3074020615e+02, 2.8369627373e+06, 
1.1563852688e+00, 1.2148442949e+03, -6.2819686816e+00, 8.8742001706e+05, 
1.1594203700e+00, 1.2086643512e+03, 3.0133569548e-05, 8.7999995228e+05, 
1.1594202995e+00, 1.2086643814e+03, 3.0885714216e-06, 8.8000000694e+05, 
1.1594203789e+00, 1.2086642922e+03, -5.1571766446e-05, 8.8000001969e+05, 
3.2159399095e+00, 2.0497082620e+03, 1.0323606973e+03, 2.1761985062e+06, 
1.1594202900e+00, 1.2086643726e+03, -7.3060866416e-08, 8.8000000013e+05, 
1.1593652988e+00, 1.2086030173e+03, -2.8415437127e-04, 8.7995120842e+05, 
4.7026857881e+00, 2.0624969495e+02, 9.0860394288e+02, 2.8626208689e+06, 
1.1594220667e+00, 1.2086661401e+03, 1.6027903502e-05, 8.8000137075e+05, 
1.1594202907e+00, 1.2086643702e+03, -1.4712956782e-06, 8.7999999635e+05, 
1.1594650403e+00, 1.2087039422e+03, 1.4338403578e-02, 8.8003011190e+05, 
1.1620352662e+00, 1.2078402920e+03, 2.8631112686e+00, 8.7809999069e+05, 
1.1594202729e+00, 1.2086643476e+03, 1.5162905357e-05, 8.7999996186e+05, 
3.2498770151e+00, 2.0649772510e+03, 1.0305856855e+03, 2.2058377417e+06, 
4.0549649557e+00, 1.4796810906e+03, 1.0461480245e+03, 2.5613624087e+06, 
1.1594202898e+00, 1.2086643724e+03, 1.3816721278e-08, 8.7999999998e+05, 
1.1594202855e+00, 1.2086643666e+03, 1.8019661393e-06, 8.7999999477e+05, 
1.9911781418e+00, 1.3797353913e+03, 4.3018971841e+02, 1.3503185978e+06, 
1.1594202899e+00, 1.2086643725e+03, -3.7926078369e-08, 8.8000000002e+05, 
2.0214889475e+00, 1.3659764866e+03, 4.6068620804e+02, 1.3689345965e+06, 
1.1594202893e+00, 1.2086643979e+03, -5.0538051607e-06, 8.8000002638e+05, 
1.1594210155e+00, 1.2086650713e+03, 2.1714548550e-04, 8.8000054115e+05, 
4.0577223431e+00, 1.0659384496e+03, 1.0041690414e+03, 2.5243238998e+06, 
4.4412638778e+00, 1.1476581330e+03, 8.7871809534e+02, 2.7383564684e+06, 
1.1797102102e+00, 1.2279171678e+03, 7.1922173052e+00, 8.9664654241e+05, 
1.1594202897e+00, 1.2086643722e+03, 1.6227253884e-07, 8.7999999980e+05, 
4.7232939347e+00, 5.1616618642e+02, 2.3652988912e+02, 2.8435117756e+06, 
2.9098422110e+00, 1.5949177238e+03, 8.3617428177e+02, 1.9151410320e+06, 
1.1594241387e+00, 1.2086684019e+03, 7.5641878594e-04, 8.8000309036e+05, 
3.7267267380e+00, 1.6172750342e+03, 1.0479309664e+03, 2.3873803586e+06, 
3.5885371818e+00, 1.1629574030e+03, 1.1098571977e+03, 2.2726104026e+06, 
4.0022744331e+00, 1.4565090440e+03, 1.0643972166e+03, 2.5305592941e+06, 
1.1594207105e+00, 1.2086645865e+03, 2.7285383499e-04, 8.8000024225e+05, 
1.1594204902e+00, 1.2086644803e+03, -2.0413272434e-04, 8.8000005725e+05, 
2.8727742727e+00, 1.8078704531e+03, 8.4843135816e+02, 1.9301238330e+06, 
