0, 2876, 4,
0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 
5.1318583867e+00, 5.3818972917e+01, 5.6301031136e+01, 3.0930183734e+06, 
1.0691044616e+00, 9.2909950808e+02, 4.1263223101e+01, 7.5921705234e+05, 
1.1594202995e+00, 1.2086643814e+03, 3.0885714216e-06, 8.8000000694e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.8205030067e-13, 8.8000000000e+05, 
1.1594300102e+00, 1.2086651465e+03, -2.7093691551e-04, 8.7999743524e+05, 
4.9791413869e+00, 1.5807817906e+02, 3.4463617997e+02, 3.0146311256e+06, 
4.9306667829e+00, 9.9861178315e+01, 6.7659065932e+02, 2.9989018393e+06, 
4.8446876001e+00, 1.2960119515e+02, 7.7512489708e+02, 2.9465279230e+06, 
4.7533368602e+00, 1.8872080640e+02, 8.5014438303e+02, 2.8924491004e+06, 
4.6673912547e+00, 2.6244663539e+02, 9.3217369452e+02, 2.8469764429e+06, 
4.5992840635e+00, 3.2115340297e+02, 1.0196474007e+03, 2.8158394016e+06, 
4.5434967311e+00, 3.9877318200e+02, 1.0608821769e+03, 2.7881009081e+06, 
4.4560769199e+00, 4.7805430184e+02, 1.1120116888e+03, 2.7416208140e+06, 
4.3641693821e+00, 5.4439345099e+02, 1.1441003904e+03, 2.6910990406e+06, 
4.2145252766e+00, 6.4917115603e+02, 1.1634592799e+03, 2.6070486541e+06, 
4.0808337527e+00, 7.3332725169e+02, 1.2124348617e+03, 2.5396657360e+06, 
3.9951914607e+00, 8.0813506052e+02, 1.2147936125e+03, 2.4905769148e+06, 
3.8389495371e+00, 9.1104230172e+02, 1.2094400130e+03, 2.4035949113e+06, 
3.6371385460e+00, 9.9109813664e+02, 1.2072842415e+03, 2.2916268748e+06, 
3.5393337601e+00, 1.0635987754e+03, 1.1760945970e+03, 2.2376695375e+06, 
3.3147091723e+00, 1.1427876495e+03, 1.1436822853e+03, 2.1128661846e+06, 
3.1906389382e+00, 1.2058229306e+03, 1.0946134458e+03, 2.0439008957e+06, 
3.0519754150e+00, 1.2510766523e+03, 1.0489114759e+03, 1.9656177287e+06, 
2.8807101208e+00, 1.2931339925e+03, 9.7012713599e+02, 1.8647127415e+06, 
2.6916670761e+00, 1.3226107053e+03, 8.9020141442e+02, 1.7553981122e+06, 
2.5417804002e+00, 1.3385577486e+03, 8.2582902975e+02, 1.6705874065e+06, 
2.3898952379e+00, 1.3399032359e+03, 7.5546367084e+02, 1.5822023917e+06, 
2.2253724127e+00, 1.3380740702e+03, 6.6192659247e+02, 1.4850913354e+06, 
2.0475843779e+00, 1.3143147590e+03, 5.7112717184e+02, 1.3761964340e+06, 
1.9269170302e+00, 1.2925117182e+03, 5.0376676119e+02, 1.3039089330e+06, 
1.8096312975e+00, 1.2686668059e+03, 4.2850463084e+02, 1.2331731657e+06, 
1.6381545161e+00, 1.2116379469e+03, 3.3710030917e+02, 1.1247067801e+06, 
1.4674286441e+00, 1.1398590673e+03, 2.5499959159e+02, 1.0166338830e+06, 
1.4094645112e+00, 1.1183182285e+03, 2.1116717211e+02, 9.8056160931e+05, 
1.2772690878e+00, 1.0512875541e+03, 1.4027898057e+02, 8.9481189858e+05, 
1.1557342787e+00, 9.8203659379e+02, 8.2134624855e+01, 8.1599143731e+05, 
1.1976746479e+00, 1.0113520729e+03, 8.8514104618e+01, 8.4579595630e+05, 
1.3303184377e+00, 1.0921197029e+03, 1.3826670272e+02, 9.3441669272e+05, 
1.4046779030e+00, 1.1331968866e+03, 1.6805239009e+02, 9.8268239964e+05, 
1.5485478436e+00, 1.2014493417e+03, 2.3472817067e+02, 1.0744432774e+06, 
1.6478241055e+00, 1.2469556841e+03, 2.7925636862e+02, 1.1373661453e+06, 
1.7249620040e+00, 1.2802493317e+03, 3.1253710151e+02, 1.1855980510e+06, 
1.8365178201e+00, 1.3253681560e+03, 3.6152894935e+02, 1.2552896070e+06, 
1.8885567766e+00, 1.3477180731e+03, 3.8047601521e+02, 1.2873023571e+06, 
1.9608114990e+00, 1.3756174865e+03, 4.1360317305e+02, 1.3327635548e+06, 
