1,
0, 5547, 4,
1.1594202899e+00, 1.2086643724e+03, -2.8667773765e-08, 8.8000000000e+05, 
1.1594207527e+00, 1.2086650433e+03, 2.9644088579e-03, 8.8000026531e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.2763004377e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -6.7023638287e-12, 8.8000000000e+05, 
1.1594201986e+00, 1.2086642895e+03, -3.1132340369e-05, 8.7999993438e+05, 
1.1594200342e+00, 1.2086641341e+03, -8.0779832820e-05, 8.7999981416e+05, 
1.1594202899e+00, 1.2086643725e+03, 1.5403081101e-08, 8.8000000005e+05, 
1.1594202899e+00, 1.2086643724e+03, -6.5302512903e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 7.8066213808e-13, 8.8000000000e+05, 
2.4211159184e+00, 1.4262344716e+03, -2.1818791881e+02, 1.6128919212e+06, 
1.1594202899e+00, 1.2086643724e+03, -3.3498836191e-13, 8.8000000000e+05, 
2.2847791442e+00, 1.7004324489e+03, 6.7387048582e+02, 1.5848886593e+06, 
1.1594202889e+00, 1.2086643716e+03, -2.4869630948e-07, 8.7999999933e+05, 
1.1594202975e+00, 1.2086643727e+03, -1.1577971196e-05, 8.8000000399e+05, 
1.1594203925e+00, 1.2086644356e+03, 1.9612655471e-04, 8.8000005951e+05, 
1.1594202899e+00, 1.2086643724e+03, -9.3250934566e-14, 8.8000000000e+05, 
4.0937979759e+00, 1.6422649874e+03, 1.2079520839e+03, 2.6316179846e+06, 
1.1594203160e+00, 1.2086643849e+03, 8.9538256548e-06, 8.8000000817e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.1044800483e-09, 8.8000000000e+05, 
2.9583666434e+00, 1.8703941152e+03, 1.0537161694e+03, 1.9999715266e+06, 
1.1785110165e+00, 1.2254574432e+03, 6.1844603938e+00, 8.9404287222e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.8197976861e-13, 8.8000000000e+05, 
1.1594210348e+00, 1.2086650601e+03, 2.5473239126e-04, 8.8000053810e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.7278503112e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 5.0023297527e-14, 8.8000000000e+05, 
3.4089067199e+00, 2.0234987537e+03, 1.1357258311e+03, 2.2856060048e+06, 
1.1594202899e+00, 1.2086643724e+03, 2.7045712607e-13, 8.8000000000e+05, 
3.1437886442e+00, 1.8643953363e+03, 1.0879555294e+03, 2.1000827014e+06, 
1.1594202899e+00, 1.2086643724e+03, -1.1026065070e-13, 8.8000000000e+05, 
1.1594203236e+00, 1.2086644039e+03, 1.3093309698e-05, 8.8000002433e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.9722831880e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.4418479377e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.4959214762e-10, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.7622890343e-13, 8.8000000000e+05, 
1.1594202914e+00, 1.2086643738e+03, 5.9306651341e-07, 8.8000000109e+05, 
1.1594202485e+00, 1.2086643404e+03, -1.0421079415e-05, 8.7999997625e+05, 
3.8959538090e+00, 1.8615502072e+02, 1.9800496071e+01, 2.3859814397e+06, 
1.1594202899e+00, 1.2086643725e+03, 7.8000819125e-09, 8.8000000002e+05, 
1.1594192652e+00, 1.2086623341e+03, -1.4704723640e-03, 8.7999806911e+05, 
1.1609370577e+00, 1.2102433452e+03, 6.2162859078e-01, 8.8131723785e+05, 
3.6214011874e+00, 4.1854951784e+02, 2.1246450998e+02, 2.1278227967e+06, 
1.1594202899e+00, 1.2086643724e+03, -1.4638816388e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.5116394904e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.8970085405e-13, 8.8000000000e+05, 
1.1844955034e+00, 1.2211407707e+03, 1.2778854444e+01, 8.8479373652e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.9020723702e-14, 8.8000000000e+05, 
1.1594203078e+00, 1.2086643882e+03, 6.4287681743e-06, 8.8000001271e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.7916937227e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.6291858167e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.7855878654e-14, 8.8000000000e+05, 
1.7488537120e+00, 1.2847426569e+03, 4.7180561840e+02, 1.2060621376e+06, 
1.1594202899e+00, 1.2086643724e+03, 6.4480703622e-14, 8.8000000000e+05, 
1.1594240298e+00, 1.2086678129e+03, 1.2522044285e-03, 8.8000270315e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.7298927809e-10, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.9959278930e-13, 8.8000000000e+05, 
1.1594202898e+00, 1.2086643724e+03, -4.0616053471e-09, 8.7999999999e+05, 
