0, 2880, 4,
0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 
5.3033926408e+00, 2.2500112431e+02, 1.5181324762e+02, 3.3107606737e+06, 
7.3396858620e-01, 6.9554381865e+02, 5.7803552889e+01, 5.3956297847e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.4026440249e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.0599491052e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.8537817348e-13, 8.8000000000e+05, 
5.3795634969e+00, 5.6941219868e+02, 5.7744427804e+02, 3.2956054041e+06, 
4.8516947065e+00, 6.6096337091e+02, 1.1636613798e+03, 2.9748762357e+06, 
4.2612565539e+00, 4.9273707006e+02, 1.3121674503e+03, 2.6670735500e+06, 
4.1333613045e+00, 3.7359596599e+02, 1.2639809823e+03, 2.5748456891e+06, 
4.1206373253e+00, 3.3094809023e+02, 1.1201787787e+03, 2.5493545559e+06, 
4.1719839228e+00, 3.0772805118e+02, 9.1499886452e+02, 2.5565677652e+06, 
4.2121660761e+00, 2.3965869631e+02, 7.3409648245e+02, 2.5629218594e+06, 
4.2874738160e+00, 3.1105419248e+02, 6.3286893071e+02, 2.6066463449e+06, 
4.2179986704e+00, 4.2545460463e+02, 7.1552474259e+02, 2.5771856458e+06, 
4.2470474354e+00, 6.3337581193e+02, 9.0785324882e+02, 2.5876201717e+06, 
4.1289717871e+00, 7.4953511071e+02, 1.0655226975e+03, 2.5318920698e+06, 
3.9693226073e+00, 8.8863151014e+02, 1.1504177737e+03, 2.4633832435e+06, 
3.7430929015e+00, 9.7309795927e+02, 1.1833018918e+03, 2.3370077717e+06, 
3.4650081801e+00, 1.0148780786e+03, 1.1786086167e+03, 2.1787558358e+06, 
3.2958118199e+00, 1.1407928723e+03, 1.1965187196e+03, 2.0959194433e+06, 
3.1174456916e+00, 1.1883409994e+03, 1.1517801067e+03, 1.9923577100e+06, 
2.9690414094e+00, 1.2588594163e+03, 1.1013818683e+03, 1.9174722112e+06, 
2.8345583712e+00, 1.2869338001e+03, 1.0360486081e+03, 1.8405730343e+06, 
2.6261197829e+00, 1.2906859030e+03, 9.5335105502e+02, 1.7164712528e+06, 
2.4436515466e+00, 1.3156225867e+03, 8.7511420452e+02, 1.6124327794e+06, 
2.2505006867e+00, 1.3105903670e+03, 7.9020752532e+02, 1.4995755599e+06, 
2.0676823307e+00, 1.2910550082e+03, 7.0736537496e+02, 1.3912732107e+06, 
1.9318926126e+00, 1.2823526943e+03, 6.3073089641e+02, 1.3132434769e+06, 
1.7512347565e+00, 1.2412780825e+03, 5.3214020365e+02, 1.2061622081e+06, 
1.6019576185e+00, 1.1934466466e+03, 4.4799089766e+02, 1.1132753326e+06, 
1.4627077580e+00, 1.1380003114e+03, 3.7190950540e+02, 1.0244814199e+06, 
1.3547828617e+00, 1.0911789235e+03, 3.0738724213e+02, 9.5386425862e+05, 
1.2417672478e+00, 1.0321840483e+03, 2.5552106004e+02, 8.7997065262e+05, 
1.1174588043e+00, 9.6014855608e+02, 2.0172593817e+02, 7.9773434297e+05, 
9.9353431753e-01, 8.8037451321e+02, 1.5767865833e+02, 7.1475434215e+05, 
8.4598075532e-01, 7.7750135727e+02, 1.0607490089e+02, 6.1601088221e+05, 
9.4896750263e-01, 8.5865995357e+02, 9.6423806410e+01, 6.8377751150e+05, 
1.1040677282e+00, 9.7632256253e+02, 1.4754174617e+02, 7.9201062484e+05, 
1.2446295382e+00, 1.0749073581e+03, 2.0210773620e+02, 8.8922755465e+05, 
1.3858030846e+00, 1.1696544063e+03, 2.5881172608e+02, 9.8602283503e+05, 
1.4982053813e+00, 1.2476397608e+03, 3.0081830831e+02, 1.0621789694e+06, 
1.6071243930e+00, 1.3316535666e+03, 3.4694271061e+02, 1.1380644279e+06, 
1.7312097049e+00, 1.4238985886e+03, 4.0047800205e+02, 1.2247518549e+06, 
1.8639571368e+00, 1.5211810994e+03, 4.5110051803e+02, 1.3166903380e+06, 
1.9697904054e+00, 1.5904154404e+03, 4.9781922651e+02, 1.3912896088e+06, 
2.0501086009e+00, 1.6466709369e+03, 5.3461191539e+02, 1.4491943888e+06, 
2.1570688748e+00, 1.7320186222e+03, 5.7046869363e+02, 1.5247087832e+06, 
2.2544641065e+00, 1.8039903251e+03, 6.1325726407e+02, 1.5912145488e+06, 
2.3656975345e+00, 1.8923755739e+03, 6.6644822266e+02, 1.6719787300e+06, 
2.5152992218e+00, 2.0140395340e+03, 7.2558623167e+02, 1.7795416515e+06, 
2.6359647943e+00, 2.1156306020e+03, 7.6430105104e+02, 1.8639493586e+06, 
2.7282014616e+00, 2.1821211145e+03, 8.1651306502e+02, 1.9303221644e+06, 
2.6300037863e+00, 2.1282780497e+03, 7.5659058356e+02, 1.8666727705e+06, 
2.1648720958e+00, 1.8781504811e+03, 4.9406285878e+02, 1.5589566276e+06, 
1.4406822007e+00, 1.4094374390e+03, 1.3401027488e+02, 1.0713203605e+06, 
1.1618174731e+00, 1.2108016732e+03, 8.4566022455e-01, 8.8171364442e+05, 
1.1594202898e+00, 1.2086643724e+03, 2.4364378048e-09, 8.7999999999e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.4208205692e-11, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.5752382645e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.4579152300e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.8366279704e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 6.7598992860e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.8733659603e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.1685240911e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.1118737583e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.3360899829e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.9091255520e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.8231542637e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -8.4260484942e-17, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.5846205670e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 8.9286732429e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.4207994589e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.5038129451e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 9.0183693142e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.5597037393e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.2544461458e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.4894030736e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.6970982316e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.1270248761e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.3743229076e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.7863054550e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -6.0120131398e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.6733405797e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.4554588969e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.4382209960e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 7.3801673151e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.3338982813e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.6366365439e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.0531610247e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.0980004012e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 7.0797884137e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.5374654914e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -6.8608917286e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.1853216425e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.5423456080e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.0165114714e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.6355002192e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.5670022513e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 5.1118324819e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.0686287230e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.2919851835e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.9885428478e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.2608841825e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.2584198175e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.2200755744e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.9092856797e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.4630533505e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.3799135105e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.9012727914e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.8694588393e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -7.9667998661e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 6.3927729452e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.9726731916e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.9521821735e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.5313960441e-16, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.4037383790e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.7435202100e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.4973217044e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.7920455745e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.3987404639e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.0372198678e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.0880401217e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 9.1485148914e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.5326378396e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 6.0753213742e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.5070447518e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.8592117997e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.0206115643e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 8.6958024938e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.9926851346e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.2261347626e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 5.8274105796e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.5152262825e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.2868875384e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.6664503359e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -6.4358003427e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 8.1804556748e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.6748489059e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.6462192327e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.7806089550e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.9762113570e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.6990122136e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.9529706411e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.8487227554e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.2026630407e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.0729919417e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 7.3113626219e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.0262314220e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.2414479822e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 6.8728395586e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.6507420652e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.4147119737e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 9.3389248302e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.0547513804e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.6753933380e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.9239356489e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.9654920979e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.4071639759e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.4445825390e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.9653534511e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 8.2509525758e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.1299297729e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.4529180383e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 7.3536194336e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.3413576250e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.2751476066e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.4835951678e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -7.3891326345e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 9.8751422176e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.3796782204e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 7.1665506486e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 6.9405952540e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.1030197260e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.4486470684e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.2482997340e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.4040124296e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.5805062970e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -9.3628899496e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.6246941505e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.4498839572e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.1794165342e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -8.6107825567e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 5.0960488993e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.6848481693e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 8.4756724942e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.4516641303e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -8.7205096241e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.2721798150e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 9.5819479741e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.6133598537e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643725e+03, 7.8223701453e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643725e+03, 1.8437224048e-11, 8.8000000001e+05, 
1.1594202899e+00, 1.2086643724e+03, 5.1361507559e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.9522608122e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.5563020250e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 8.3950700814e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.0024378526e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.7417272435e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.3992678895e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -7.5307413202e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.2189915708e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.4349163537e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.3328383908e-14, 8.8000000000e+05, 
1.3789751492e+00, 1.3052614789e+03, -5.1469805886e+01, 1.0294590423e+06, 
3.4729938843e+00, 1.3781497023e+03, -1.7921776246e+02, 2.2074085405e+06, 
4.3088155389e+00, 1.4164557118e+03, -7.4304470636e+01, 2.6451877923e+06, 
4.3382534591e+00, 1.5559371831e+03, -2.3078951604e+01, 2.7130038797e+06, 
4.7155777223e+00, 1.6389722309e+03, 5.7673439290e+01, 2.9929847390e+06, 
5.1839635840e+00, 9.0942899506e+02, 2.2946489363e+02, 3.2647229625e+06, 
