1,
0, 12440, 4,
1.1594170685e+00, 8.0565184423e+02, 1.4063662268e+01, 5.2999864150e+05, 
1.0806787826e+00, 7.6331630209e+02, -9.4683385041e+00, 4.9650136935e+05, 
1.1594609072e+00, 8.0567421675e+02, 1.4075846230e+01, 5.3001711967e+05, 
1.4219075386e+00, 9.2986526808e+02, -6.9660658002e+01, 6.3907575292e+05, 
1.1526323342e+00, 8.0251337448e+02, 1.1795540179e+01, 5.2722716750e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1519570918e+00, 8.0242298058e+02, 1.5369417162e+01, 5.2720616745e+05, 
1.1331107255e+00, 7.9198238011e+02, 2.2319943433e+01, 5.1896646701e+05, 
1.1594202876e+00, 8.0565352339e+02, 1.4062734928e+01, 5.2999999897e+05, 
1.5207984787e+00, 9.7109761313e+02, -1.0274554034e+02, 6.7984273831e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.2092131266e+00, 8.3006598491e+02, -1.4229676690e+00, 5.5080920051e+05, 
1.1594202899e+00, 8.0565352454e+02, 1.4062734229e+01, 5.2999999991e+05, 
1.4258913054e+00, 9.2969129791e+02, 1.0278684211e+02, 6.4107591852e+05, 
1.1577627905e+00, 8.0300813279e+02, 1.4403063716e+01, 5.2899845838e+05, 
1.4635545184e+00, 9.4829887706e+02, -8.3420588324e+01, 6.5653095760e+05, 
1.1473594208e+00, 7.9218871637e+02, 1.3934678563e+01, 5.2370952829e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1605071291e+00, 8.0619615464e+02, 1.4404417768e+01, 5.3045582318e+05, 
1.3993780641e+00, 9.1806005439e+02, 9.3657934815e+01, 6.3011431343e+05, 
1.1613696311e+00, 8.0664164564e+02, 1.4674911022e+01, 5.3082043240e+05, 
1.1598325053e+00, 8.0586315328e+02, 1.4191424616e+01, 5.3017362665e+05, 
1.1573551727e+00, 8.0298555003e+02, 1.4128900444e+01, 5.2878538663e+05, 
1.1219906491e+00, 7.8652259950e+02, 2.4951324784e+01, 5.1423823230e+05, 
