0, 6395, 4,
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594223508e+00, 8.0565461249e+02, 1.4062128068e+01, 5.3000087149e+05, 
1.1594199840e+00, 8.0565336642e+02, 1.4062639502e+01, 5.2999987058e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.2121462315e+00, 8.3155573756e+02, 1.1489355267e+01, 5.5315150729e+05, 
1.2842653220e+00, 8.5623081725e+02, 6.1002017949e+01, 5.7894253959e+05, 
9.3854924943e-01, 6.7345620139e+02, 4.1355173755e+00, 4.3445468640e+05, 
1.3630837774e+00, 8.8920588645e+02, -5.6838207468e+01, 6.1050054433e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352454e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352454e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202898e+00, 8.0565352454e+02, 1.4062734235e+01, 5.2999999990e+05, 
1.1594202898e+00, 8.0565352452e+02, 1.4062734241e+01, 5.2999999989e+05, 
1.1594202900e+00, 8.0565352460e+02, 1.4062734198e+01, 5.2999999996e+05, 
1.1594202901e+00, 8.0565352465e+02, 1.4062734164e+01, 5.2999999999e+05, 
1.1594202903e+00, 8.0565352476e+02, 1.4062734104e+01, 5.3000000008e+05, 
