1,
0, 4935, 4,
1.1570066513e+00, -5.9567760259e+00, -1.3983017292e+00, 2.4983632751e+05, 
1.1574955427e+00, -6.4470992193e+00, -2.1393550645e+00, 2.4994501507e+05, 
1.1574604311e+00, -6.3560981452e+00, -2.3546180119e+00, 2.4993703892e+05, 
1.1572436143e+00, -5.9705890815e+00, -2.4299833856e+00, 2.4988968266e+05, 
1.1571509387e+00, -5.3267539830e+00, -2.8154020717e+00, 2.4986675477e+05, 
1.1570930694e+00, -4.4181138874e+00, -3.7021167971e+00, 2.4985618686e+05, 
1.1594453062e+00, 4.0314472811e+01, -1.2346486144e-01, 2.5070910314e+05, 
1.1585831334e+00, 4.4159798634e+01, -2.4407797059e+00, 2.5055847447e+05, 
1.1591632003e+00, 4.1189491757e+01, 2.9020504571e-01, 2.5065587981e+05, 
1.1593433842e+00, 4.0609705133e+01, -4.5608680638e-02, 2.5068782785e+05, 
1.1580591678e+00, 4.3802512750e+01, 2.5483401614e+00, 2.5046049323e+05, 
1.1637198941e+00, 2.4356399209e+01, -1.2798097254e+01, 2.5152845046e+05, 
1.1596890768e+00, 3.9354612785e+01, 1.2568736304e+00, 2.5075334993e+05, 
1.1585739407e+00, 4.3179003258e+01, -5.6008444563e+00, 2.5055133518e+05, 
1.1561734584e+00, 1.7385807472e+01, 3.4819444130e+00, 2.4974042846e+05, 
1.1594719879e+00, 4.0323577794e+01, 8.5162670892e-02, 2.5071701741e+05, 
1.1594037985e+00, 4.0350146632e+01, 7.3869781546e-02, 2.5069731011e+05, 
1.1590396859e+00, 4.1776546754e+01, 2.8710769965e+00, 2.5063684109e+05, 
1.1583562651e+00, 2.1371755962e+01, 3.0390635623e+00, 2.5024891508e+05, 
1.1579470845e+00, 4.5012167891e+01, 1.8336246954e+00, 2.5043940510e+05, 
1.1584111965e+00, 4.4139664837e+01, -2.2741616548e+00, 2.5052172789e+05, 
1.1583611547e+00, 4.3800613669e+01, 2.6600138403e+00, 2.5052228495e+05, 
1.1593634982e+00, 4.0327218799e+01, 1.0189545717e-02, 2.5068447668e+05, 
1.1594664499e+00, 4.0340563850e+01, -1.1436864508e-01, 2.5071540228e+05, 
1.1596510317e+00, 3.9277954032e+01, -2.5805265963e+00, 2.5074404968e+05, 
1.1594006332e+00, 4.0353175124e+01, -4.2042218793e-02, 2.5069636278e+05, 
1.1594107152e+00, 4.0399981800e+01, -1.8928044672e-01, 2.5070127145e+05, 
1.1591912325e+00, 4.0993639569e+01, -2.8814615124e+00, 2.5066055500e+05, 
1.1586211378e+00, 4.3049987786e+01, 1.7877747995e+00, 2.5056086776e+05, 
1.1583209453e+00, 4.2689708334e+01, -3.3595857188e+00, 2.5052846534e+05, 
1.1587241292e+00, 4.2743514201e+01, -1.2162034477e+00, 2.5057836577e+05, 
1.1594072499e+00, 4.0275364974e+01, 4.9475951135e-02, 2.5069631227e+05, 
1.1590617040e+00, 4.1575488566e+01, -9.5081914842e-01, 2.5064049837e+05, 
1.1594750543e+00, 4.0344972123e+01, 7.9921985795e-02, 2.5071842428e+05, 
1.1575732708e+00, 4.2494761653e+01, 1.0936484686e+01, 2.5035815553e+05, 
1.1594108743e+00, 4.0454701181e+01, -7.3043132599e-02, 2.5070327893e+05, 
1.1579679679e+00, 4.4288726188e+01, 5.1310752434e+00, 2.5044443549e+05, 
1.1593990942e+00, 4.0402205400e+01, 5.4710574688e-03, 2.5069789091e+05, 
1.1591432414e+00, 4.1338106928e+01, 2.9262903043e+00, 2.5065522172e+05, 
1.1594676447e+00, 4.0086570839e+01, -1.4942173944e+00, 2.5071147814e+05, 
1.1595558615e+00, 3.9881469278e+01, 1.1107741891e+00, 2.5072643410e+05, 
1.1594038267e+00, 4.0345376599e+01, 3.8644789072e-02, 2.5069715682e+05, 
1.1592072345e+00, 4.1217345702e+01, 1.8133786690e-01, 2.5066579038e+05, 
1.1579065686e+00, 4.5571728045e+01, 6.3419715446e-01, 2.5043684811e+05, 
1.1594097777e+00, 4.0352494569e+01, -5.7035066477e-02, 2.5069908145e+05, 
1.1592726715e+00, 4.0974124837e+01, -8.7110700460e-01, 2.5067756689e+05, 
1.1585801386e+00, 4.3285188914e+01, 2.3152956428e+00, 2.5055077616e+05, 
1.1592992113e+00, 4.1248512279e+01, -3.9422559250e+00, 2.5067384779e+05, 
1.1580834763e+00, 4.5050663929e+01, -1.9524491839e+00, 2.5046594269e+05, 
1.1604070893e+00, 3.6257300725e+01, 3.7228384567e+00, 2.5090026516e+05, 
1.1587125849e+00, 3.3673123611e+01, 4.7691799422e+00, 2.5049361248e+05, 
1.1593179710e+00, 4.0574897399e+01, 3.2218277011e+00, 2.5068351174e+05, 
1.1593475750e+00, 4.0608640219e+01, -2.5205948044e-01, 2.5068842413e+05, 
1.1593304612e+00, 4.0566199682e+01, -1.1561006422e+00, 2.5068611698e+05, 
1.1593111202e+00, 4.0587289109e+01, 7.0738307431e-01, 2.5068080094e+05, 
1.1586236383e+00, 4.3150395138e+01, -1.2087451650e+00, 2.5056343567e+05, 
1.1594032543e+00, 4.0581928046e+01, 5.5169408211e-01, 2.5070314245e+05, 
1.1593829883e+00, 4.0418751494e+01, 9.3267221517e-02, 2.5069291880e+05, 
1.1593443758e+00, 4.0579684823e+01, -1.0423025764e-01, 2.5068728536e+05, 
1.1594017936e+00, 4.0419131869e+01, 1.8698994514e-01, 2.5069933227e+05, 
1.1592445103e+00, 4.1007612335e+01, 9.8073618705e-02, 2.5067119382e+05, 
1.1593969801e+00, 4.0481856152e+01, 6.7180303745e-01, 2.5069799314e+05, 
1.1593292214e+00, 4.0617474014e+01, -3.8754696770e-01, 2.5068458995e+05, 
1.1593929489e+00, 4.0464454460e+01, -8.3488987034e-03, 2.5069755755e+05, 
1.1594161617e+00, 4.0328887261e+01, 2.9565414686e-01, 2.5069961985e+05, 
1.1592774075e+00, 4.1430392103e+01, -4.1016641290e+00, 2.5066987458e+05, 
