1,
0, 4170, 4,
4.8677243334e-01, 1.3280218382e+02, 1.0431235817e+00, 9.3794041760e+04, 
1.4492753623e-01, -1.3863520240e-14, 6.6079683119e-14, 2.5000000000e+04, 
3.0698177762e-01, 8.3803521039e+01, 2.0078161353e-02, 8.6925742640e+04, 
1.1594202899e+00, 1.3918072217e-13, -8.1053251617e-14, 2.5000000000e+05, 
1.4492753623e-01, 7.6796770424e-15, -1.3819410589e-14, 2.5000000000e+04, 
1.1594202899e+00, -3.7999196111e-14, 4.0816966144e-14, 2.5000000000e+05, 
4.8084397368e-01, 1.3153184954e+02, 1.2773730202e-01, 9.3165299618e+04, 
8.5296849021e-01, 8.7003414427e+01, -5.3201015637e-01, 1.6753217047e+05, 
6.1194680643e-01, 1.2753328542e+02, 2.1403095446e-01, 1.1608451891e+05, 
4.9353047078e-01, 1.3411558044e+02, 2.6961762397e-01, 9.4733869788e+04, 
1.4492753623e-01, 1.2737783362e-14, -2.2698321719e-14, 2.5000000000e+04, 
1.4492753623e-01, 1.7083778583e-14, 1.6174631938e-14, 2.5000000000e+04, 
1.1593598540e+00, 2.3323527287e-02, -5.9958683081e-04, 2.4998175649e+05, 
1.4492753623e-01, -4.7766614080e-15, -1.5137780760e-14, 2.5000000000e+04, 
1.1592564513e+00, 5.3523859260e-02, 9.0865259036e-03, 2.4995054472e+05, 
1.4492753623e-01, 1.5967198075e-14, 1.5096182723e-14, 2.5000000000e+04, 
4.7347664738e-01, 1.2865906296e+02, -8.9134526897e-01, 9.3380518327e+04, 
1.1594202899e+00, -2.4969947759e-13, 1.0091710400e-13, 2.5000000000e+05, 
3.0585727903e-01, 8.3807991289e+01, -4.1875902680e-01, 8.6809264045e+04, 
1.1594202899e+00, -4.9757115526e-13, -2.5597712242e-13, 2.5000000000e+05, 
1.1594202899e+00, -4.6135614222e-13, 6.3499306067e-15, 2.5000000000e+05, 
3.7545258493e-01, 1.0236205315e+02, -1.5343004013e-02, 8.9333857469e+04, 
1.1594202899e+00, -1.6021085823e-13, 1.9380371862e-13, 2.5000000000e+05, 
1.1593743128e+00, 1.2132700011e-02, 2.1600094892e-04, 2.4998612088e+05, 
1.1594202899e+00, 1.8962331901e-13, 2.4210247146e-13, 2.5000000000e+05, 
1.4492753623e-01, -1.2246257737e-14, 2.9549351766e-14, 2.5000000000e+04, 
4.7833654461e-01, 1.2993303072e+02, -8.4729185038e-01, 9.3585329203e+04, 
1.4492753623e-01, -8.4221434282e-15, -1.1514345730e-14, 2.5000000000e+04, 
1.1528452750e+00, 2.1645134947e+00, 1.8712711903e-01, 2.4802013636e+05, 
1.1594202899e+00, 1.5988038397e-13, 1.4752530937e-14, 2.5000000000e+05, 
1.4492753623e-01, 4.9399305222e-14, -1.0750283016e-14, 2.5000000000e+04, 
1.1594202899e+00, -1.5088772279e-13, 8.6108706338e-14, 2.5000000000e+05, 
1.4492753623e-01, -1.3723188594e-14, -2.4744325091e-14, 2.5000000000e+04, 
7.3353813554e-01, 1.1059038428e+02, -2.0195858085e-01, 1.4054463311e+05, 
5.1357702512e-01, 1.3371053630e+02, 1.8507759078e-01, 9.8076335257e+04, 
1.4492753623e-01, 2.2751374872e-14, -2.9087453028e-14, 2.5000000000e+04, 
9.7265569671e-01, 5.5573201456e+01, 1.8022058993e-01, 1.9730651682e+05, 
1.4492753623e-01, 6.1577589103e-15, 4.0938956776e-15, 2.5000000000e+04, 
