0, 2224, 4,
1.1594202899e+00, 3.9588820750e-14, -3.3186100799e-14, 2.5000000000e+05, 
1.4492753623e-01, -1.0304628307e-14, -1.0847286881e-14, 2.5000000000e+04, 
1.4492753623e-01, -4.5536660607e-15, 4.6775133622e-15, 2.5000000000e+04, 
1.1594202899e+00, -4.4721066344e-14, -5.0137198001e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.0972604994e-13, 2.0934379259e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.5738021126e-13, -1.5647856749e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.5919274351e-13, 5.9507777080e-14, 2.5000000000e+05, 
1.1594202899e+00, 6.6684018950e-14, 2.1156086966e-14, 2.5000000000e+05, 
1.1594202899e+00, 4.7684853305e-14, -1.7795686756e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.5048771767e-13, 1.5380576161e-13, 2.5000000000e+05, 
1.1594202899e+00, -7.5589932546e-14, -1.6852195257e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.5283408807e-13, 2.3361231200e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.2009912703e-13, 2.3852532448e-17, 2.5000000000e+05, 
1.1594202899e+00, 7.4145056719e-15, 4.1178657233e-14, 2.5000000000e+05, 
1.1594202899e+00, -7.7445590146e-14, -4.5991232068e-14, 2.5000000000e+05, 
1.1594202899e+00, 3.2947166319e-14, -1.1661158878e-15, 2.5000000000e+05, 
1.1594202899e+00, 4.8553777873e-14, 9.0620137908e-15, 2.5000000000e+05, 
1.1594202899e+00, 5.4646484151e-14, -1.5261886695e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.6297881151e-13, 1.5094492639e-13, 2.5000000000e+05, 
1.1594202899e+00, -8.9226278112e-14, -1.1168546460e-13, 2.5000000000e+05, 
1.1594202899e+00, 6.2849716357e-14, 9.3688074714e-17, 2.5000000000e+05, 
1.1594202899e+00, -7.9295067174e-14, 1.0605109065e-13, 2.5000000000e+05, 
1.1594202899e+00, -2.3025931004e-13, -3.7592907982e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.2545737765e-13, 3.6868984245e-15, 2.5000000000e+05, 
1.1594202899e+00, 1.5396213303e-13, -3.1189666769e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.7177241247e-12, 3.5538034784e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.5738475116e-11, 3.7064814624e-12, 2.5000000000e+05, 
1.1594202899e+00, 1.2679945675e-10, 2.4133490732e-11, 2.5000000000e+05, 
1.1594202899e+00, 1.0964155143e-09, 1.7923132753e-10, 2.5000000000e+05, 
1.1594202898e+00, 8.0585590704e-09, 7.7359608589e-10, 2.4999999999e+05, 
1.1594202897e+00, 5.4823501961e-08, 8.0163992654e-09, 2.4999999995e+05, 
1.1594202889e+00, 3.3817715338e-07, 1.0513746081e-08, 2.4999999970e+05, 
1.1594202838e+00, 1.9675635699e-06, 1.6716987848e-07, 2.4999999817e+05, 
1.1594202584e+00, 9.4446575646e-06, 1.0528818884e-06, 2.4999999051e+05, 
1.1594201522e+00, 4.2970990467e-05, 7.2302735161e-06, 2.4999995843e+05, 
1.1594196402e+00, 1.8559201680e-04, 4.2152136440e-05, 2.4999980389e+05, 
1.1594171601e+00, 1.0535361785e-03, 5.4987187302e-05, 2.4999905520e+05, 
1.1594068079e+00, 4.4389109500e-03, 8.2921261106e-05, 2.4999593018e+05, 
1.1593744446e+00, 1.5354010882e-02, -4.7455373921e-05, 2.4998616081e+05, 
1.1592719815e+00, 4.6811023780e-02, 3.0114644907e-03, 2.4995523252e+05, 
1.1590184484e+00, 1.3461075645e-01, 9.7975291183e-04, 2.4987871800e+05, 
1.1583420635e+00, 3.5184959191e-01, 2.6158916654e-02, 2.4967466731e+05, 
1.1569119589e+00, 8.3720133616e-01, 3.5266720614e-02, 2.4924365080e+05, 
1.1537986519e+00, 1.8788229243e+00, 8.5266727285e-02, 2.4830710002e+05, 
1.1473508915e+00, 4.0200645609e+00, -1.1362774769e-01, 2.4637512743e+05, 
1.1389025174e+00, 6.4885752347e+00, 3.8580020638e-01, 2.4385419570e+05, 
1.1270234752e+00, 9.8577641866e+00, 8.1116706007e-01, 2.4033521271e+05, 
1.1089552014e+00, 1.6372425668e+01, 6.8215597439e-01, 2.3505668847e+05, 
1.0846971558e+00, 2.4044405472e+01, 6.9321259653e-01, 2.2806110192e+05, 
1.0572966415e+00, 3.2740203768e+01, 6.5483680359e-01, 2.2033335007e+05, 
1.0240000003e+00, 4.2712947019e+01, 1.4738957883e-01, 2.1113260316e+05, 
9.9177410907e-01, 5.1877846624e+01, 5.7384288569e-02, 2.0245530720e+05, 
9.5641615091e-01, 6.1464452354e+01, 4.4044823834e-01, 1.9318000201e+05, 
9.2042037962e-01, 7.0907096974e+01, -9.7217464078e-02, 1.8402121136e+05, 
8.8176927991e-01, 8.0102657261e+01, 4.1739041238e-01, 1.7444865243e+05, 
8.4362334817e-01, 8.8337746443e+01, 2.2785528256e-01, 1.6524108778e+05, 
8.0887807898e-01, 9.6108530870e+01, 2.0962138658e-01, 1.5720526735e+05, 
7.7209028490e-01, 1.0342355266e+02, 4.2703557994e-01, 1.4897717608e+05, 
7.3463677340e-01, 1.0990613266e+02, 3.9614233406e-02, 1.4082608905e+05, 
6.9757538395e-01, 1.1521717317e+02, 3.0427484578e-01, 1.3292840962e+05, 
6.6593215517e-01, 1.1939249780e+02, -4.2178808208e-01, 1.2643126620e+05, 
6.3091156435e-01, 1.2367943843e+02, -2.4168130001e-01, 1.1951347007e+05, 
5.9905489666e-01, 1.2658261478e+02, 4.3107538466e-02, 1.1331166101e+05, 
5.7021947179e-01, 1.2904495177e+02, -7.1856271567e-02, 1.0794162978e+05, 
5.4076362311e-01, 1.3102893904e+02, -1.5483525935e-01, 1.0260269726e+05, 
5.1358129280e-01, 1.3225845996e+02, -2.5070060721e-01, 9.7775847074e+04, 
4.9008416772e-01, 1.3274739945e+02, -4.8102708505e-02, 9.3634442946e+04, 
4.8205731201e-01, 1.3284519572e+02, -1.7613835011e-01, 9.2264754278e+04, 
4.8296842745e-01, 1.3291371710e+02, -2.2974071676e-01, 9.2497784241e+04, 
4.8601040143e-01, 1.3292874575e+02, -2.2853541815e-01, 9.3103496353e+04, 
4.8775366062e-01, 1.3295048651e+02, -2.2824692786e-01, 9.3504096576e+04, 
4.8847889876e-01, 1.3285997132e+02, -2.2121016390e-01, 9.3732275957e+04, 
4.8834939901e-01, 1.3264356108e+02, -2.1549675712e-01, 9.3855544421e+04, 
