1,
0, 3022, 4,
3.0769418629e-01, 8.3559065895e+01, -5.4062423792e-03, 8.7220285626e+04, 
3.6711651478e-01, 9.9877580234e+01, -1.5356148885e-03, 8.9319020232e+04, 
4.9551113899e-01, 1.3507657955e+02, -2.3644587371e-02, 9.4080487976e+04, 
4.9428564357e-01, 1.3472857898e+02, 2.4610945981e-02, 9.4113084715e+04, 
4.9371449244e-01, 1.3463507994e+02, -1.2711869085e-02, 9.4037055832e+04, 
4.9431090676e-01, 1.3470550807e+02, 8.5890925219e-03, 9.4095418054e+04, 
4.9395815532e-01, 1.3460490419e+02, 1.1771279036e-02, 9.4023869573e+04, 
4.9450058098e-01, 1.3466556019e+02, 3.3088551898e-03, 9.4136375262e+04, 
4.9464914791e-01, 1.3473277304e+02, 1.1017664749e-03, 9.4192794607e+04, 
4.9406237281e-01, 1.3460140862e+02, 6.2975122611e-03, 9.4046199767e+04, 
5.5234573931e-01, 1.3223705931e+02, 5.1852331431e-03, 1.0434792230e+05, 
5.1062345737e-01, 1.3430142763e+02, 2.2309260402e-02, 9.6954893468e+04, 
4.9368187014e-01, 1.3459972867e+02, 2.0783720152e-04, 9.4002702181e+04, 
6.4833610495e-01, 1.2362569260e+02, 4.0548305137e-04, 1.2256933767e+05, 
7.0115151353e-01, 1.1659233608e+02, 6.4843459242e-03, 1.3330914582e+05, 
5.9857747620e-01, 1.2875070608e+02, 2.3855805667e-03, 1.1290655554e+05, 
7.5750149950e-01, 1.0747539564e+02, 5.4126350302e-03, 1.4537170631e+05, 
8.1725711305e-01, 9.5849646818e+01, 9.3756777268e-03, 1.5882263900e+05, 
8.8118917710e-01, 8.1746326826e+01, 1.5519354860e-02, 1.7402712492e+05, 
9.4905706931e-01, 6.4691234072e+01, 1.0625005077e-02, 1.9109219455e+05, 
1.0213032779e+00, 4.4415762352e+01, 1.5323399093e-02, 2.1028617168e+05, 
1.0994161174e+00, 2.0095264560e+01, 1.5806871811e-02, 2.3225539438e+05, 
3.0836685336e-01, 8.3915922199e+01, 5.0588951787e-03, 8.7240295053e+04, 
3.0874287914e-01, 8.3839378844e+01, -7.5357157055e-03, 8.7416646522e+04, 
3.0855260403e-01, 8.3909547493e+01, 4.1517429362e-02, 8.7481512053e+04, 
1.1593127333e+00, 4.1487584995e-02, -1.2415188436e-02, 2.4996753270e+05, 
3.0732520842e-01, 8.3618718954e+01, 5.8223223262e-02, 8.6988155877e+04, 
3.0544661014e-01, 8.3706920595e+01, 2.0677232341e-01, 8.6504345627e+04, 
1.1594308287e+00, -3.6450839225e-03, 4.1841245960e-04, 2.5000318141e+05, 
1.1594202904e+00, -1.8966452399e-07, 3.1060210991e-08, 2.5000000016e+05, 
1.4508108983e-01, 5.7479411325e-02, -1.9240273472e-02, 2.5037140659e+04, 
1.1594202899e+00, 1.3760486535e-10, -5.3102072942e-12, 2.5000000000e+05, 
1.4492753630e-01, 2.5087090678e-08, -9.9000984179e-09, 2.5000000016e+04, 
1.1594202899e+00, -1.8661249538e-13, -3.0482643487e-14, 2.5000000000e+05, 
1.4492753623e-01, 3.1531216567e-16, -4.2942481321e-15, 2.5000000000e+04, 
1.1594202899e+00, -5.2955762760e-14, -5.9341411239e-14, 2.5000000000e+05, 
1.4492753623e-01, 6.1271903257e-15, 3.4351015615e-16, 2.5000000000e+04, 
1.1594202899e+00, -1.7680163101e-13, 2.0523692968e-14, 2.5000000000e+05, 
1.4492753623e-01, 2.0049103120e-14, -4.1872797305e-16, 2.5000000000e+04, 
1.1594202899e+00, 1.0985077354e-13, -2.9968059347e-14, 2.5000000000e+05, 
1.4492753623e-01, -1.2546063584e-14, -4.3610273592e-15, 2.5000000000e+04, 
1.1594202899e+00, 5.1723812736e-14, -8.8026951440e-15, 2.5000000000e+05, 
1.1594202899e+00, -1.1170080744e-13, -5.2334283823e-16, 2.5000000000e+05, 
1.4492753623e-01, -2.4869064498e-15, 3.3486885334e-16, 2.5000000000e+04, 
1.4492753623e-01, -1.0162840291e-14, 4.6379944932e-15, 2.5000000000e+04, 
1.1594202899e+00, 5.8498520818e-14, -3.1897022489e-14, 2.5000000000e+05, 
1.4492753623e-01, 7.1862092720e-15, 2.7475159444e-15, 2.5000000000e+04, 
1.1594202899e+00, 2.2048861867e-13, -5.7305394446e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.9870571382e-13, 1.8408926575e-14, 2.5000000000e+05, 
1.4492753623e-01, -2.6895386511e-14, 1.4107021075e-15, 2.5000000000e+04, 
1.1594202899e+00, 3.8175337841e-13, 1.0633720173e-14, 2.5000000000e+05, 
1.4492753623e-01, 1.2384640401e-14, 2.0792300854e-15, 2.5000000000e+04, 
1.4492753623e-01, -3.7933330597e-15, 3.5649346878e-15, 2.5000000000e+04, 
1.1594202899e+00, -3.5228383190e-14, -4.9284288785e-15, 2.5000000000e+05, 
1.1594202899e+00, 6.3849995461e-15, -9.9742146075e-15, 2.5000000000e+05, 
1.4492753623e-01, 1.0559041032e-14, -8.4070325441e-16, 2.5000000000e+04, 
1.4492753623e-01, 2.9310584803e-15, 5.5659879680e-15, 2.5000000000e+04, 
1.1594202899e+00, 1.5331568706e-13, -2.2748784073e-15, 2.5000000000e+05, 
1.1594202899e+00, -9.0090737905e-14, 1.5207641844e-14, 2.5000000000e+05, 
1.4492753623e-01, -6.3900122840e-15, 2.8880121589e-15, 2.5000000000e+04, 
1.4492753623e-01, 5.5074274668e-15, -1.9041243817e-15, 2.5000000000e+04, 
1.1594202899e+00, 1.6374698096e-13, -2.7539032901e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.2693156454e-13, 6.3144836821e-15, 2.5000000000e+05, 
1.4492753623e-01, 1.7656814773e-14, -9.5762674666e-17, 2.5000000000e+04, 
1.4492753623e-01, -2.2636838406e-14, 1.2937849990e-15, 2.5000000000e+04, 
1.1594202899e+00, -3.9922506285e-13, -1.7250498351e-16, 2.5000000000e+05, 
1.1594202899e+00, -2.8717232246e-13, -1.9105584752e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.7529890489e-13, -3.9164115605e-14, 2.5000000000e+05, 
1.4492753623e-01, 1.7378084418e-14, 3.5602605862e-15, 2.5000000000e+04, 
1.4492753623e-01, -2.5599800716e-15, 3.1732754542e-15, 2.5000000000e+04, 
1.4492753623e-01, -6.3968199226e-15, 9.1037250669e-15, 2.5000000000e+04, 
1.1594202899e+00, 2.4131345901e-13, -1.1369718178e-14, 2.5000000000e+05, 
1.4492753623e-01, 3.4803627228e-15, -2.0054683269e-16, 2.5000000000e+04, 
1.1594202899e+00, 5.9861631245e-14, -1.4766891851e-15, 2.5000000000e+05, 
1.4492753623e-01, 1.1394532149e-14, -5.5377955557e-15, 2.5000000000e+04, 
1.1594202899e+00, -1.5408624382e-13, 3.9140892299e-15, 2.5000000000e+05, 
1.1594202899e+00, -1.1013048479e-13, -2.5271451409e-14, 2.5000000000e+05, 
1.4492753623e-01, -4.3504046269e-14, 1.1024621512e-15, 2.5000000000e+04, 
1.1594202899e+00, -2.4509970444e-13, -6.0579464737e-14, 2.5000000000e+05, 
1.4492753623e-01, 8.7798765604e-15, 3.4762201931e-15, 2.5000000000e+04, 
1.4492753623e-01, -1.8736284748e-14, 4.5127420414e-15, 2.5000000000e+04, 
1.1594202899e+00, 4.0477200310e-14, -4.9929822670e-15, 2.5000000000e+05, 
1.4492753623e-01, -9.5880474161e-15, 1.5532043916e-15, 2.5000000000e+04, 
1.4492753623e-01, 6.1085192201e-15, -6.6820157330e-16, 2.5000000000e+04, 
1.1594202899e+00, 2.7385085501e-13, 3.5828325168e-15, 2.5000000000e+05, 
1.1594202899e+00, -8.2523515569e-14, -1.0354599028e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.8679075874e-13, 3.0857296780e-14, 2.5000000000e+05, 
1.4492753623e-01, 2.0126829791e-14, -2.6746816113e-16, 2.5000000000e+04, 
1.1594202899e+00, 6.9825589036e-14, 2.1087202096e-14, 2.5000000000e+05, 
1.1594202899e+00, 5.0230159696e-14, 1.9381581590e-14, 2.5000000000e+05, 
1.4492753623e-01, -6.9182967811e-15, -3.1898199352e-15, 2.5000000000e+04, 
1.1594202899e+00, -1.0970775303e-13, 3.3834108175e-14, 2.5000000000e+05, 
1.4492753623e-01, -1.3728563450e-14, 1.5543267456e-15, 2.5000000000e+04, 
1.4492753623e-01, -1.0789922451e-15, -2.5426674647e-15, 2.5000000000e+04, 
1.1594202899e+00, 9.0380836109e-14, 3.5901132091e-14, 2.5000000000e+05, 
1.1594202899e+00, -9.5740317720e-14, 6.7471471569e-15, 2.5000000000e+05, 
1.4492753623e-01, -1.5665479026e-14, 1.9204364891e-15, 2.5000000000e+04, 
1.1594202899e+00, 2.5640366144e-13, 2.2565038612e-14, 2.5000000000e+05, 
1.1594202899e+00, 3.0574352100e-13, 3.5108619132e-14, 2.5000000000e+05, 
1.4492753623e-01, 1.6270972716e-14, -5.4722175255e-15, 2.5000000000e+04, 
1.1594202899e+00, -3.0820382586e-14, 3.3540732227e-14, 2.5000000000e+05, 
1.4492753623e-01, 1.0886464484e-14, -1.3479957396e-15, 2.5000000000e+04, 
1.1594202899e+00, -7.9159626729e-14, 8.2648386065e-15, 2.5000000000e+05, 
1.4492753623e-01, 9.3868688184e-15, -1.3643470451e-16, 2.5000000000e+04, 
1.1594202899e+00, -8.8910473455e-14, 7.0092626032e-15, 2.5000000000e+05, 
1.4492753623e-01, 1.9025599337e-14, 1.2277044189e-15, 2.5000000000e+04, 
1.1594202899e+00, -9.4117174215e-14, 3.4037773191e-14, 2.5000000000e+05, 
1.4492753623e-01, 7.7090541794e-15, -3.4716394096e-15, 2.5000000000e+04, 
1.1594202899e+00, -1.3523949852e-14, 2.2295731017e-14, 2.5000000000e+05, 
1.4492753623e-01, 2.9415839156e-14, 9.3661579558e-15, 2.5000000000e+04, 
1.1594202899e+00, 9.2586790356e-14, 8.7789153695e-17, 2.5000000000e+05, 
1.4492753623e-01, -1.4328891298e-14, 3.5522652015e-15, 2.5000000000e+04, 
1.1594202899e+00, 2.6331957112e-14, 8.0072512080e-15, 2.5000000000e+05, 
1.4492753623e-01, 9.8902167282e-15, 1.4464896851e-15, 2.5000000000e+04, 
1.1594202899e+00, 2.0579568085e-15, -1.5556331160e-14, 2.5000000000e+05, 
1.4492753623e-01, 1.4329119494e-14, 5.0141889424e-16, 2.5000000000e+04, 
1.1594202899e+00, 8.1672418490e-14, 9.3157153790e-15, 2.5000000000e+05, 
1.1594202899e+00, 1.5832511000e-14, 1.7327543981e-14, 2.5000000000e+05, 
1.4492753623e-01, -3.2505798210e-16, -1.9053094090e-15, 2.5000000000e+04, 
1.4492753623e-01, 2.4420958426e-14, 1.7141414037e-15, 2.5000000000e+04, 
1.1594202899e+00, 6.0059645536e-14, -1.7618802271e-14, 2.5000000000e+05, 
1.4492753623e-01, -7.3480690293e-15, -2.7186490536e-15, 2.5000000000e+04, 
1.1594202899e+00, 2.9433768877e-13, 1.1757459615e-14, 2.5000000000e+05, 
1.4492753633e-01, 3.8038102374e-08, 1.6835267791e-08, 2.5000000023e+04, 
1.1594202899e+00, 2.4369235178e-14, 5.1100361141e-14, 2.5000000000e+05, 
1.4508585208e-01, 5.4182382903e-02, 1.6365569145e-02, 2.5038322916e+04, 
1.1594202899e+00, -6.5117952611e-15, 2.8552236118e-15, 2.5000000000e+05, 
1.1594202899e+00, 1.6187756386e-13, -4.0012570340e-14, 2.5000000000e+05, 
3.0531941225e-01, 8.3590945843e+01, -2.3383106700e-01, 8.6456406211e+04, 
3.0715836609e-01, 8.3637204585e+01, -6.2824141348e-02, 8.6960540485e+04, 
3.0877818567e-01, 8.4072147560e+01, -2.8883350219e-02, 8.7475271143e+04, 
1.1594202899e+00, 1.4003301314e-10, 4.2844349772e-12, 2.5000000000e+05, 
3.0842291772e-01, 8.3717266894e+01, 6.9962218564e-03, 8.7426704533e+04, 
3.0860987407e-01, 8.3919477557e+01, 1.0079626817e-02, 8.7344124308e+04, 
1.1594202904e+00, -1.7238126443e-07, -2.4303929676e-08, 2.5000000015e+05, 
1.1594305978e+00, -3.5762935011e-03, -4.2129898520e-04, 2.5000311172e+05, 
1.0994369830e+00, 2.0127396240e+01, -1.6773653766e-02, 2.3226280615e+05, 
1.1593553537e+00, 2.6095126826e-02, 9.9028296734e-03, 2.4998039787e+05, 
1.0213257413e+00, 4.4411138495e+01, -9.5643492359e-04, 2.1028998503e+05, 
9.4907641935e-01, 6.4663717655e+01, -2.6922963649e-03, 1.9109375596e+05, 
8.8123775990e-01, 8.1711243496e+01, -8.6775094087e-03, 1.7403859050e+05, 
8.1733388664e-01, 9.5828002017e+01, -2.1509502052e-03, 1.5883547023e+05, 
7.5752665702e-01, 1.0746031873e+02, 2.2648121202e-03, 1.4537780201e+05, 
7.0112556942e-01, 1.1657299740e+02, 1.0411730875e-04, 1.3330238066e+05, 
5.5235378492e-01, 1.3222911833e+02, -4.4040675140e-03, 1.0434840983e+05, 
6.4828619029e-01, 1.2361083988e+02, 2.5562855053e-03, 1.2255409702e+05, 
5.9853866371e-01, 1.2872839838e+02, -1.4062212932e-03, 1.1289786890e+05, 
5.1067677540e-01, 1.3430502617e+02, -1.9296934879e-02, 9.6970278783e+04, 
4.9372931660e-01, 1.3461044108e+02, -3.3701883003e-03, 9.4004768569e+04, 
4.9473327167e-01, 1.3473874573e+02, -5.0921556757e-03, 9.4212929891e+04, 
4.9409822815e-01, 1.3460216512e+02, -3.0451268964e-03, 9.4056400391e+04, 
4.9382418195e-01, 1.3457418905e+02, -4.7430627569e-04, 9.3995923974e+04, 
4.9463801320e-01, 1.3467056895e+02, 6.4381688960e-03, 9.4160518104e+04, 
4.9406873262e-01, 1.3469698925e+02, -1.7547982970e-02, 9.4071486117e+04, 
4.9415141988e-01, 1.3467821628e+02, -1.2568668879e-02, 9.4060572635e+04, 
4.9547622002e-01, 1.3508416863e+02, 1.8030616063e-02, 9.4069029752e+04, 
3.6872937964e-01, 1.0027250590e+02, -6.0767497087e-03, 8.9439571076e+04, 
4.9359451366e-01, 1.3462753284e+02, 7.2474551704e-03, 9.4017311085e+04, 
3.0508511895e-01, 8.3234550067e+01, 6.6627053767e-03, 8.7050247504e+04, 
3.0520461518e-01, 8.3271917950e+01, -2.1021973801e-02, 8.7069782140e+04, 
1.4492753623e-01, -7.4179530920e-15, -1.8993699278e-14, 2.5000000000e+04, 
1.1594202899e+00, 1.9791586932e-13, 1.2888878640e-13, 2.5000000000e+05, 
1.4492753623e-01, -6.0239060693e-15, -2.2561332476e-14, 2.5000000000e+04, 
3.0802950857e-01, 8.3910079443e+01, 3.7280418158e-02, 8.7183970612e+04, 
1.1594202899e+00, -4.3405223978e-13, -4.7627336950e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.7038997759e-14, 3.0021220375e-15, 2.5000000000e+05, 
1.4492753623e-01, 3.3052741711e-15, 2.1830597738e-14, 2.5000000000e+04, 
1.4492753623e-01, -1.4556912053e-14, -6.3440873821e-15, 2.5000000000e+04, 
1.1594202899e+00, 1.3353696415e-13, -7.1057934726e-14, 2.5000000000e+05, 
1.4492753623e-01, -9.6955540376e-15, -1.7050809715e-15, 2.5000000000e+04, 
1.1594202899e+00, -4.6587700372e-13, -3.4409168073e-13, 2.5000000000e+05, 
1.1594202899e+00, -1.0927467375e-13, -1.4910125024e-13, 2.5000000000e+05, 
3.0541359540e-01, 8.3294555747e+01, -2.9388613183e-02, 8.7115527704e+04, 
3.0806654275e-01, 8.3687114699e+01, -6.9197397861e-03, 8.7243504436e+04, 
1.4492753623e-01, -3.4223121713e-14, 1.1659802317e-14, 2.5000000000e+04, 
1.4492753623e-01, 1.0516488848e-14, -9.8264243026e-15, 2.5000000000e+04, 
1.1594202899e+00, 3.1107416678e-15, -1.9190350101e-13, 2.5000000000e+05, 
1.4492753623e-01, 2.9691110011e-14, 1.4789464589e-14, 2.5000000000e+04, 
1.1594202899e+00, 1.3115179976e-13, 2.0958625153e-13, 2.5000000000e+05, 
1.1594202899e+00, 2.0750932514e-13, -1.9643930244e-13, 2.5000000000e+05, 
1.4492753623e-01, -1.2280656965e-14, -2.6096057688e-15, 2.5000000000e+04, 
1.4492753623e-01, 1.6472120311e-14, 2.1866370896e-14, 2.5000000000e+04, 
1.1594202899e+00, 3.3834731156e-13, -3.6854954470e-13, 2.5000000000e+05, 
1.1594202899e+00, -1.8100786780e-13, -2.3449113966e-13, 2.5000000000e+05, 
1.1594202899e+00, -4.4897727827e-14, 3.5647246132e-13, 2.5000000000e+05, 
1.4492753623e-01, -1.4712391912e-14, -2.2332178296e-14, 2.5000000000e+04, 
1.4492753623e-01, -5.8590720971e-16, 2.7854098658e-14, 2.5000000000e+04, 
1.4492753623e-01, -9.0861177313e-15, 1.9828293628e-14, 2.5000000000e+04, 
1.1594202899e+00, 6.8204740456e-14, 4.7699456905e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.1136522626e-14, -7.0901237407e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.9443008346e-13, -7.4383519052e-15, 2.5000000000e+05, 
1.4492753623e-01, -1.2748324388e-15, 1.5047300283e-14, 2.5000000000e+04, 
1.1594202899e+00, 3.6905935891e-13, -3.3799456933e-14, 2.5000000000e+05, 
1.4492753623e-01, -2.4856620664e-14, -2.2666809702e-14, 2.5000000000e+04, 
1.1594202899e+00, -2.3988841548e-14, 9.6428080371e-14, 2.5000000000e+05, 
1.4492753623e-01, 1.1741890069e-14, -2.1319580232e-14, 2.5000000000e+04, 
1.1594202899e+00, 1.3200069258e-13, 9.6818037722e-14, 2.5000000000e+05, 
1.4492753623e-01, -3.4394425845e-15, -3.4105567430e-14, 2.5000000000e+04, 
1.1594202899e+00, -1.4470082969e-13, 1.4677603933e-14, 2.5000000000e+05, 
1.4492753623e-01, 6.4375974849e-15, -4.7760500422e-15, 2.5000000000e+04, 
1.1594202899e+00, 2.9665130418e-14, 1.2591911851e-13, 2.5000000000e+05, 
1.4492753623e-01, 1.0162120081e-14, -1.7764380069e-14, 2.5000000000e+04, 
1.1594202899e+00, 1.0070786002e-13, -1.9076171378e-13, 2.5000000000e+05, 
1.4492753623e-01, 4.0315781465e-14, 5.4540969874e-14, 2.5000000000e+04, 
1.1594202899e+00, 6.3606597087e-14, -3.8127497093e-14, 2.5000000000e+05, 
1.4492753623e-01, -1.0281412193e-15, 2.8628190821e-14, 2.5000000000e+04, 
1.1594202899e+00, -4.1258164534e-14, 7.1882474887e-14, 2.5000000000e+05, 
1.4492753623e-01, 2.5068921505e-14, 5.3486112977e-14, 2.5000000000e+04, 
1.1594202899e+00, -5.7597666315e-14, -1.2090104117e-13, 2.5000000000e+05, 
1.4492753623e-01, 9.0129642128e-15, -3.4279329404e-14, 2.5000000000e+04, 
1.1594202899e+00, 1.5039374933e-14, -2.1500214512e-13, 2.5000000000e+05, 
1.1594202899e+00, -7.4345771167e-14, -2.6168830014e-13, 2.5000000000e+05, 
1.4492753623e-01, 6.6992845364e-15, 4.3359028462e-14, 2.5000000000e+04, 
1.4492753623e-01, 6.9630877710e-15, -4.1188540904e-14, 2.5000000000e+04, 
1.1594202899e+00, -1.1092681923e-13, -1.4777269684e-13, 2.5000000000e+05, 
1.4492753623e-01, -4.3081947994e-15, -1.0113940468e-14, 2.5000000000e+04, 
1.1594202899e+00, -3.9138010175e-14, -1.4884502094e-13, 2.5000000000e+05, 
1.4492753623e-01, -1.1844862179e-09, 4.8428569398e-10, 2.4999999999e+04, 
1.1594202899e+00, 1.4247032964e-13, 5.3090720172e-13, 2.5000000000e+05, 
1.4495588668e-01, 9.4199593727e-03, -4.0906722072e-03, 2.5006847980e+04, 
1.1594202899e+00, 5.0936937774e-14, 6.9368242490e-14, 2.5000000000e+05, 
1.1594202899e+00, 9.4899145840e-14, -1.1162267623e-13, 2.5000000000e+05, 
3.0825458800e-01, 8.3946555790e+01, 8.2953079245e-01, 8.7329445815e+04, 
3.0831442969e-01, 8.3648649650e+01, 8.4357406830e-02, 8.7291875475e+04, 
1.1594202899e+00, 6.7723803665e-11, -1.3758542152e-11, 2.5000000000e+05, 
3.0899945737e-01, 8.3905712113e+01, -4.7830872940e-03, 8.7550655637e+04, 
3.0845853389e-01, 8.3799451459e+01, 3.5152924567e-02, 8.7389873352e+04, 
1.1594202900e+00, -5.9333499670e-08, 5.5864537896e-09, 2.5000000005e+05, 
1.1594227923e+00, -8.8886811684e-04, 3.3982383836e-04, 2.5000075543e+05, 
1.1594455452e+00, -8.9783354305e-03, 9.0062111295e-05, 2.5000762403e+05, 
3.0777826031e-01, 8.3964246989e+01, -5.3849100150e-03, 8.7141397039e+04, 
1.0338685559e+00, 4.0651218646e+01, -3.3275531829e-02, 2.1374335973e+05, 
1.1578759966e+00, 5.3273495932e-01, -1.1585421046e-01, 2.4953406526e+05, 
9.6085299236e-01, 6.1501750922e+01, -3.5368014719e-02, 1.9414454415e+05, 
8.9238169477e-01, 7.9112206499e+01, -5.0015651628e-02, 1.7678048450e+05, 
8.2779107200e-01, 9.3686065476e+01, -1.9175468552e-02, 1.6127440666e+05, 
7.6730088809e-01, 1.0571321742e+02, 9.5515672512e-04, 1.4753848675e+05, 
7.1026584021e-01, 1.1518113074e+02, -1.4915146209e-03, 1.3520778763e+05, 
6.5685094719e-01, 1.2254852407e+02, 2.2601213699e-03, 1.2425519614e+05, 
6.0673525340e-01, 1.2804243535e+02, -5.1609566020e-03, 1.1446643946e+05, 
5.5991173461e-01, 1.3178584846e+02, -7.8414996911e-03, 1.0573187125e+05, 
5.1715990757e-01, 1.3403827616e+02, -1.0441935350e-02, 9.8088933322e+04, 
4.9367614996e-01, 1.3460484513e+02, -1.4550477636e-02, 9.3993552966e+04, 
4.9475578682e-01, 1.3475560477e+02, -7.9943055697e-03, 9.4222068175e+04, 
4.9420440586e-01, 1.3462234040e+02, -1.0408384614e-02, 9.4076673928e+04, 
4.9431355180e-01, 1.3459383520e+02, 2.8906114911e-02, 9.4084649143e+04, 
4.9472265757e-01, 1.3464395708e+02, 1.7301300550e-02, 9.4173166461e+04, 
4.9447080265e-01, 1.3471665218e+02, -1.8771660689e-02, 9.4149637032e+04, 
4.9440817131e-01, 1.3466942359e+02, -8.1494716242e-03, 9.4091058188e+04, 
4.9535072603e-01, 1.3508433956e+02, 4.5020551606e-02, 9.4085136261e+04, 
4.9357977724e-01, 1.3456881173e+02, 1.6549938361e-02, 9.3994049812e+04, 
4.1952232197e-01, 1.1411177227e+02, -1.0068629336e-02, 9.1317341371e+04, 
1.1594202899e+00, -3.2611586802e-13, 5.1914203055e-13, 2.5000000000e+05, 
3.0740591714e-01, 8.3515600999e+01, -2.3858864303e-03, 8.7175123047e+04, 
4.1832201963e-01, 1.1380900731e+02, -1.2720227102e-02, 9.1227085822e+04, 
4.9532658413e-01, 1.3507778922e+02, -5.7398914428e-02, 9.4076486573e+04, 
4.9368836544e-01, 1.3459617586e+02, -2.8283814225e-02, 9.4017960843e+04, 
4.9458190836e-01, 1.3470581251e+02, -2.3301448685e-03, 9.4128240391e+04, 
4.9462672459e-01, 1.3474494984e+02, 3.1609120288e-02, 9.4188950955e+04, 
4.9441963336e-01, 1.3461500888e+02, -5.9520822693e-03, 9.4104725561e+04, 
4.9457469180e-01, 1.3463473003e+02, 3.4496965301e-03, 9.4146092239e+04, 
4.9468274013e-01, 1.3473588500e+02, 3.2341962071e-03, 9.4199610562e+04, 
4.9410270841e-01, 1.3461426892e+02, 1.6505138076e-02, 9.4054979480e+04, 
4.9363109062e-01, 1.3457092591e+02, 1.0485484093e-02, 9.3985303819e+04, 
5.1715785169e-01, 1.3403177981e+02, 5.3295277010e-03, 9.8084910420e+04, 
5.5994201625e-01, 1.3177814442e+02, -3.8551106051e-03, 1.0573748003e+05, 
6.0679007570e-01, 1.2804514937e+02, -5.9802351476e-03, 1.1447713542e+05, 
6.5693170611e-01, 1.2254794480e+02, -7.0342356667e-03, 1.2427530467e+05, 
7.1034070968e-01, 1.1518127580e+02, 8.3344387639e-04, 1.3522366256e+05, 
7.6730944054e-01, 1.0570405392e+02, 4.7070436334e-04, 1.4753550010e+05, 
8.2775501075e-01, 9.3676855521e+01, 1.7867540150e-02, 1.6126829758e+05, 
8.9238155270e-01, 7.9110916785e+01, 4.1236067999e-02, 1.7677872705e+05, 
3.0747228862e-01, 8.3947933743e+01, 5.3628972377e-03, 8.7047677055e+04, 
9.6091615236e-01, 6.1491969558e+01, 2.5798477685e-02, 1.9415566683e+05, 
1.0339253114e+00, 4.0640817878e+01, 3.7965035547e-02, 2.1375743948e+05, 
1.1141700026e+00, 1.5320305508e+01, -1.7786461860e-02, 2.3655640729e+05, 
3.0871580618e-01, 8.3915511666e+01, -1.6463901160e-02, 8.7380324635e+04, 
3.0846450909e-01, 8.3794730497e+01, 2.2892658269e-02, 8.7512217518e+04, 
1.1594169114e+00, 2.3670892699e-03, 7.1323410261e-03, 2.4999898020e+05, 
1.1594227631e+00, -8.6694496184e-04, -2.7196583027e-04, 2.5000074663e+05, 
3.0856845207e-01, 8.3659241621e+01, -9.7636165470e-02, 8.7343112368e+04, 
1.1594202900e+00, -6.1909775984e-08, -6.7904202291e-09, 2.5000000006e+05, 
3.0839170224e-01, 8.3958811145e+01, -8.2718888253e-01, 8.7342872817e+04, 
1.1594202899e+00, 6.3982550062e-11, 1.3808552191e-11, 2.5000000000e+05, 
1.4494698886e-01, 6.3583558091e-03, 2.7675453915e-03, 2.5004698475e+04, 
1.1594202899e+00, -2.7393799405e-13, 4.1158915025e-13, 2.5000000000e+05, 
1.4492753624e-01, 1.3334042429e-09, 5.0904488514e-10, 2.5000000001e+04, 
1.1594202899e+00, -8.9956374236e-15, -2.9073759589e-13, 2.5000000000e+05, 
1.4492753623e-01, 1.1941954667e-14, 4.2476524712e-15, 2.5000000000e+04, 
1.1594202899e+00, -2.3102064051e-13, 2.1211119315e-13, 2.5000000000e+05, 
1.4492753623e-01, 1.6240890845e-14, -1.7924985458e-15, 2.5000000000e+04, 
1.1594202899e+00, -8.1191946991e-14, 3.2804269688e-13, 2.5000000000e+05, 
1.4492753623e-01, 1.3878354119e-14, 7.4310075423e-15, 2.5000000000e+04, 
1.1594202899e+00, 1.8384967175e-13, -5.2760147953e-14, 2.5000000000e+05, 
1.4492753623e-01, 1.9932649800e-15, -4.0968893208e-14, 2.5000000000e+04, 
1.1594202899e+00, -5.1947746766e-14, -3.1055038003e-13, 2.5000000000e+05, 
