0, 1767, 4,
1.1594202899e+00, 1.1077044100e-13, -7.9026977860e-14, 2.5000000000e+05, 
1.4492753623e-01, -7.0275378725e-16, -2.1503977146e-15, 2.5000000000e+04, 
1.4492753623e-01, -1.5545570094e-14, 1.2252972857e-14, 2.5000000000e+04, 
1.1594202899e+00, -1.3955985607e-13, -1.7566957352e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.1804563050e-13, 6.7728721679e-14, 2.5000000000e+05, 
1.1594202899e+00, 4.3289574425e-14, 1.5781068098e-14, 2.5000000000e+05, 
1.1594202899e+00, 6.9376181673e-14, 6.6073409232e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.5700242806e-14, -3.7399077719e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.0112213988e-14, 1.9760289295e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.2757603709e-13, -2.9128264955e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.6163104619e-13, 6.4418384483e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.6346075381e-13, 2.3435598148e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.9743331404e-14, -1.9226544602e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.6743126813e-13, 6.4311880875e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.8671397742e-13, -4.4976538852e-14, 2.5000000000e+05, 
1.1594202899e+00, 3.3197949671e-13, -1.0934747168e-13, 2.5000000000e+05, 
1.1594202899e+00, 3.1614336534e-13, 1.5835313532e-13, 2.5000000000e+05, 
1.1594202899e+00, 2.6349695373e-13, -1.0310531227e-13, 2.5000000000e+05, 
1.1594202899e+00, -2.3390713178e-14, 2.5048383937e-13, 2.5000000000e+05, 
1.1594202899e+00, -3.5330351015e-13, -1.0587875604e-13, 2.5000000000e+05, 
1.1594202899e+00, -1.5417070059e-13, -7.2932304622e-14, 2.5000000000e+05, 
1.1594202899e+00, 8.9939911034e-14, -1.6769173318e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.6264854770e-13, -1.1933590962e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.1844554215e-14, 1.2160545802e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.1606647123e-13, -1.5776611442e-13, 2.5000000000e+05, 
1.1594202899e+00, 3.4067786174e-13, 6.7912685684e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.5290782373e-13, 4.1781262218e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.8858963418e-14, 8.3835898863e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.0206313724e-13, 3.7307009022e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.3204884911e-13, -1.7958753300e-14, 2.5000000000e+05, 
1.1594202899e+00, 5.8074476580e-14, -6.4071049438e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.9813437785e-13, -3.5162769982e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.5210746633e-13, -5.4328397098e-15, 2.5000000000e+05, 
1.1594202899e+00, 2.6733958845e-13, 1.0914611866e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.1134537740e-13, 1.1972090989e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.7582129945e-13, -5.3916784867e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.1475036540e-13, 8.3526497284e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.3354174263e-14, 5.8004281882e-14, 2.5000000000e+05, 
1.1594202899e+00, -3.3710048339e-14, 4.1031231087e-14, 2.5000000000e+05, 
1.1594202899e+00, -5.3963968916e-14, 2.8580059823e-16, 2.5000000000e+05, 
1.1594202899e+00, 6.7899229540e-15, -3.5564573115e-14, 2.5000000000e+05, 
1.1594202899e+00, 4.3427401570e-14, 2.9892211071e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.3876839850e-14, 4.6069953248e-15, 2.5000000000e+05, 
1.1594202899e+00, 2.2392149792e-14, 8.1828668162e-15, 2.5000000000e+05, 
1.1594202899e+00, -7.0916303796e-14, 1.7915582065e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.5896598813e-13, -1.8875196217e-13, 2.5000000000e+05, 
1.1594202899e+00, 2.0916290304e-13, 1.5544714363e-13, 2.5000000000e+05, 
1.1594202899e+00, -1.1804932630e-14, 5.0606234492e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.1208571426e-14, -7.8785192678e-15, 2.5000000000e+05, 
1.1594202899e+00, -9.6321659392e-14, 4.7543787770e-14, 2.5000000000e+05, 
1.1594202899e+00, -3.4579712975e-14, -6.1776048686e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.7965412819e-14, 5.0295600033e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.3115684273e-14, -9.7739854075e-14, 2.5000000000e+05, 
1.1594202899e+00, 7.5505784946e-14, -2.9689749837e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.8647367915e-14, 1.2377071772e-13, 2.5000000000e+05, 
1.1594202899e+00, -6.9887240023e-14, -1.1878027796e-13, 2.5000000000e+05, 
1.1594202899e+00, 3.8203458528e-14, 3.8037015058e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.0135291761e-14, -2.4094570073e-14, 2.5000000000e+05, 
1.1594202899e+00, -5.6201011488e-14, 2.6266791394e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.8435806815e-14, -5.1681328540e-14, 2.5000000000e+05, 
1.1594202899e+00, 6.4406917060e-14, -1.4541785249e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.6754378019e-15, 7.8212122914e-14, 2.5000000000e+05, 
1.1594202899e+00, 9.6014377494e-15, -5.7941720203e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.0561136089e-14, 1.7347670161e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.3868014092e-13, 8.0923995493e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.5220268077e-13, -6.8033019984e-14, 2.5000000000e+05, 
1.1594202899e+00, -5.1786475523e-14, 4.5520383155e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.0897363748e-13, -2.9440032788e-14, 2.5000000000e+05, 
1.1594202899e+00, -5.3610092870e-14, -4.7152163274e-14, 2.5000000000e+05, 
1.1594202899e+00, -7.4589577160e-14, 6.3362169421e-14, 2.5000000000e+05, 
1.1594202899e+00, -5.5105656496e-14, -9.6794264995e-14, 2.5000000000e+05, 
1.1594202899e+00, 9.4520078163e-14, -5.3427548931e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.9875771304e-13, 3.2061003812e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.5010594694e-13, -1.0027257960e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.8100784574e-13, 1.8189770438e-13, 2.5000000000e+05, 
1.1594202899e+00, -6.6802657988e-14, 3.1213919958e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.6984570334e-14, -5.9561139987e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.0336437383e-15, 9.7182600785e-15, 2.5000000000e+05, 
1.1594202899e+00, -7.5282782516e-14, 4.1246503555e-14, 2.5000000000e+05, 
1.1594202899e+00, -7.7971238923e-14, -3.1419072751e-14, 2.5000000000e+05, 
1.1594202899e+00, 5.9628000807e-14, -5.5263360989e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.6898622023e-13, -6.5741764323e-14, 2.5000000000e+05, 
