1,
0, 5966, 4,
1.1594202898e+00, 8.0577624829e+02, -6.0600138926e-09, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.7183098430e-09, 5.3000000000e+05, 
2.3878793411e+00, 1.1170846991e+03, 4.0126822684e+02, 1.0136021790e+06, 
2.3378710133e+00, 1.0928485691e+03, 3.9936192496e+02, 9.9282454279e+05, 
2.3211140237e+00, 1.0891313319e+03, 4.0362930566e+02, 9.9061989282e+05, 
1.1594035664e+00, 8.0576821745e+02, -5.9576977409e-03, 5.2999307562e+05, 
2.3640773160e+00, 1.0877299105e+03, 3.9541828552e+02, 9.9790868807e+05, 
1.1594183531e+00, 8.0577524799e+02, -6.3583845332e-04, 5.2999918078e+05, 
1.1594235596e+00, 8.0577855300e+02, 2.9828385632e-03, 5.3000151727e+05, 
2.3815698442e+00, 1.0804308953e+03, 3.8661757370e+02, 1.0029460751e+06, 
1.1594202899e+00, 8.0577624830e+02, -2.1225924084e-08, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.1331278587e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.3157052934e-14, 5.3000000000e+05, 
1.1594202349e+00, 8.0577625586e+02, -1.1202791636e-05, 5.3000001549e+05, 
1.1594213021e+00, 8.0577687217e+02, 1.0878691366e-04, 5.3000044462e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.3008023989e-12, 5.3000000000e+05, 
1.7239983652e+00, 9.9884852937e+02, 1.7359180118e+02, 7.6095933095e+05, 
1.1594202642e+00, 8.0577620876e+02, 5.2838022290e-05, 5.2999998442e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.3020735840e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.4269513587e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.2761884514e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.1818000638e-13, 5.3000000000e+05, 
2.3927453977e+00, 1.1533865148e+03, 4.1889315537e+02, 1.0201063291e+06, 
1.1594202911e+00, 8.0577624881e+02, 6.6808517201e-07, 5.3000000051e+05, 
2.3561867431e+00, 1.0993742531e+03, 4.0093449226e+02, 1.0037866887e+06, 
2.3384494991e+00, 1.0802558530e+03, 3.9359752809e+02, 9.8798136586e+05, 
1.1594202904e+00, 8.0577624860e+02, 1.5374100525e-07, 5.3000000024e+05, 
1.1594202880e+00, 8.0577624708e+02, -3.4034546411e-07, 5.2999999916e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.6683779167e-12, 5.3000000000e+05, 
1.1594202897e+00, 8.0577624820e+02, -3.8650155356e-08, 5.2999999993e+05, 
1.1594202564e+00, 8.0577623096e+02, -9.3864479811e-06, 5.2999998593e+05, 
2.3424524497e+00, 1.0925917852e+03, 4.0291421780e+02, 9.9600004538e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.1995947893e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.7378409698e-12, 5.3000000000e+05, 
1.1624518096e+00, 8.0737806976e+02, 9.5619420751e-01, 5.3123249801e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.6578516457e-11, 5.3000000000e+05, 
2.3444165875e+00, 1.0930681821e+03, 4.0031440340e+02, 9.9647438874e+05, 
2.3492893271e+00, 1.0550116417e+03, 3.8161341275e+02, 9.8446561470e+05, 
1.1594202899e+00, 8.0577624830e+02, 7.6203560417e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.4717862273e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.2934497684e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.2105449483e-13, 5.3000000000e+05, 
2.4319503710e+00, 1.1268249075e+03, 4.1358027224e+02, 1.0215814388e+06, 
1.1594143417e+00, 8.0575206296e+02, 5.6239639695e-03, 5.2999358463e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.7859133668e-13, 5.3000000000e+05, 
1.1594298821e+00, 8.0578614140e+02, 7.7220451649e-04, 5.3000497346e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.2159111397e-12, 5.3000000000e+05, 
1.1596805273e+00, 8.0590784743e+02, 7.6397319907e-02, 5.3010927222e+05, 
2.3557656771e+00, 1.1112750269e+03, 4.0616753284e+02, 9.9856030589e+05, 
2.3987351956e+00, 1.1064975574e+03, 3.9648428041e+02, 1.0102072450e+06, 
1.1594202899e+00, 8.0577624830e+02, 3.9065445929e-11, 5.3000000000e+05, 
2.3712441547e+00, 1.1342242968e+03, 4.0981709585e+02, 1.0100036247e+06, 
1.1594202899e+00, 8.0577624830e+02, 4.0587212294e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.3005236756e-13, 5.3000000000e+05, 
1.1594185501e+00, 8.0577534373e+02, -5.1989773259e-04, 5.2999926452e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.5824323148e-13, 5.3000000000e+05, 
2.3854633308e+00, 1.1261785579e+03, 4.1091224077e+02, 1.0134063878e+06, 
1.1594202899e+00, 8.0577624830e+02, 4.8540936123e-13, 5.3000000000e+05, 
