0, 4719, 4,
1.1594202899e+00, 8.0577624830e+02, 6.1526338174e-14, 5.3000000000e+05, 
1.5650028696e+00, 8.9478962731e+02, 5.2319797752e+01, 6.8489484498e+05, 
2.3468428296e+00, 1.0805684881e+03, 3.9315077814e+02, 9.9228120258e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.7099083462e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.1626163216e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.8275832898e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -7.8080825810e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.7545123327e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.2444737877e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.0969592094e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 8.3586128830e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.8245331643e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.4129639192e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.3488804627e-14, 5.3000000000e+05, 
2.1518362989e+00, 1.0124562634e+03, 2.5618905740e+02, 9.0922692800e+05, 
2.2841265393e+00, 1.0190241439e+03, 3.6420930424e+02, 9.6170099165e+05, 
2.2937345212e+00, 1.0231838533e+03, 3.7471848204e+02, 9.6706784698e+05, 
2.2914617782e+00, 1.0339775377e+03, 3.7309422331e+02, 9.6711125351e+05, 
2.3145380317e+00, 1.0523256464e+03, 3.8072868348e+02, 9.7795483920e+05, 
2.3332260698e+00, 1.0603159878e+03, 3.8504430969e+02, 9.8571904232e+05, 
2.3406982072e+00, 1.0636986498e+03, 3.8755303595e+02, 9.8868739076e+05, 
2.3360896203e+00, 1.0641887032e+03, 3.8747996893e+02, 9.8704493828e+05, 
2.3384205661e+00, 1.0688744181e+03, 3.8871656647e+02, 9.8836028522e+05, 
2.3416975153e+00, 1.0711397998e+03, 3.8977907886e+02, 9.8978613874e+05, 
2.3447965114e+00, 1.0721207087e+03, 3.9003591928e+02, 9.9096697402e+05, 
2.3461746707e+00, 1.0724344030e+03, 3.9035103321e+02, 9.9149127902e+05, 
2.3422350665e+00, 1.0719442245e+03, 3.9039515604e+02, 9.9003276806e+05, 
2.3367921039e+00, 1.0712682565e+03, 3.9010667472e+02, 9.8798902717e+05, 
2.3379215469e+00, 1.0720105634e+03, 3.8996138248e+02, 9.8838079256e+05, 
2.3448217434e+00, 1.0741024888e+03, 3.9056762377e+02, 9.9100953354e+05, 
2.3482316715e+00, 1.0749310829e+03, 3.9122709665e+02, 9.9231864917e+05, 
2.3444423865e+00, 1.0744454960e+03, 3.9122205754e+02, 9.9093434942e+05, 
2.3408329693e+00, 1.0741190042e+03, 3.9100436872e+02, 9.8959467855e+05, 
2.3404733879e+00, 1.0748663341e+03, 3.9123393929e+02, 9.8946620332e+05, 
2.3412056839e+00, 1.0752189516e+03, 3.9134308088e+02, 9.8973081667e+05, 
2.3424910299e+00, 1.0758025537e+03, 3.9145241853e+02, 9.9023347893e+05, 
2.3441586417e+00, 1.0764432199e+03, 3.9171868154e+02, 9.9087926744e+05, 
2.3449258996e+00, 1.0769434908e+03, 3.9193606386e+02, 9.9119109898e+05, 
2.3439327218e+00, 1.0769441000e+03, 3.9205202894e+02, 9.9083577015e+05, 
2.3410529853e+00, 1.0765803739e+03, 3.9201368202e+02, 9.8976462942e+05, 
2.3383470121e+00, 1.0762684483e+03, 3.9180343652e+02, 9.8875233871e+05, 
2.3397486478e+00, 1.0769606979e+03, 3.9178032290e+02, 9.8929036228e+05, 
2.3437842989e+00, 1.0778813364e+03, 3.9205586282e+02, 9.9082742827e+05, 
2.3463515611e+00, 1.0782320143e+03, 3.9238369956e+02, 9.9179511871e+05, 
2.3472473253e+00, 1.0783696918e+03, 3.9241368943e+02, 9.9213648957e+05, 
2.3472201891e+00, 1.0785515151e+03, 3.9255205087e+02, 9.9214772033e+05, 
2.3474383354e+00, 1.0786683093e+03, 3.9257367292e+02, 9.9223202393e+05, 
2.3490970072e+00, 1.0794587923e+03, 3.9276371562e+02, 9.9292564900e+05, 
2.3498142827e+00, 1.0797430222e+03, 3.9299574642e+02, 9.9323910182e+05, 
2.3493751999e+00, 1.0800199600e+03, 3.9309626032e+02, 9.9312146411e+05, 
2.3472679081e+00, 1.0798780560e+03, 3.9317858482e+02, 9.9236088936e+05, 
2.3450129047e+00, 1.0796871607e+03, 3.9297295551e+02, 9.9153057305e+05, 
2.3428490856e+00, 1.0795703067e+03, 3.9305470682e+02, 9.9075124741e+05, 
2.3418324855e+00, 1.0795072062e+03, 3.9289502696e+02, 9.9036109822e+05, 
2.3429596426e+00, 1.0798758902e+03, 3.9298165767e+02, 9.9080802970e+05, 
2.3450077346e+00, 1.0802167158e+03, 3.9308981258e+02, 9.9157642564e+05, 
2.3478963359e+00, 1.0816297736e+03, 3.9320330064e+02, 9.9279309786e+05, 
2.3497480085e+00, 1.0843677892e+03, 3.9409427783e+02, 9.9385650383e+05, 
2.3518327577e+00, 1.0875644481e+03, 3.9519061223e+02, 9.9508906567e+05, 
2.3551225048e+00, 1.0922164935e+03, 3.9693530516e+02, 9.9701706852e+05, 
2.3579051626e+00, 1.0961603713e+03, 3.9831881836e+02, 9.9862454327e+05, 
2.3605510143e+00, 1.0997577188e+03, 3.9968404586e+02, 1.0000800423e+06, 
2.3619635976e+00, 1.1017544726e+03, 4.0043831774e+02, 1.0008151385e+06, 
2.3632803117e+00, 1.1033487562e+03, 4.0115735967e+02, 1.0013484943e+06, 
2.3644830832e+00, 1.1046513472e+03, 4.0181419220e+02, 1.0017253469e+06, 
2.3650645701e+00, 1.1051447449e+03, 4.0219266480e+02, 1.0017752743e+06, 
2.3654678431e+00, 1.1052053061e+03, 4.0234513311e+02, 1.0016744542e+06, 
2.3659597877e+00, 1.1047116018e+03, 4.0224117597e+02, 1.0015130296e+06, 
2.3664874747e+00, 1.1036517729e+03, 4.0180053396e+02, 1.0013164435e+06, 
2.3668728465e+00, 1.1029011062e+03, 4.0129308641e+02, 1.0012821507e+06, 
2.3668157827e+00, 1.1021500232e+03, 4.0074546300e+02, 1.0012602949e+06, 
2.3671578312e+00, 1.1021209862e+03, 4.0069434367e+02, 1.0015413031e+06, 
2.3677446401e+00, 1.1029404761e+03, 4.0098000866e+02, 1.0020550812e+06, 
2.3687344531e+00, 1.1043977845e+03, 4.0154085456e+02, 1.0027975043e+06, 
2.3694523867e+00, 1.1055435439e+03, 4.0198355649e+02, 1.0033834653e+06, 
2.3697485086e+00, 1.1059337976e+03, 4.0213658804e+02, 1.0037372294e+06, 
2.3689431958e+00, 1.1042135799e+03, 4.0147478656e+02, 1.0031299705e+06, 
2.3681391774e+00, 1.1025579777e+03, 4.0100585722e+02, 1.0023366339e+06, 
2.3682980303e+00, 1.1019959660e+03, 4.0089315707e+02, 1.0018588584e+06, 
2.3691220618e+00, 1.1027897471e+03, 4.0135009152e+02, 1.0018418184e+06, 
2.3705233514e+00, 1.1059802983e+03, 4.0270717699e+02, 1.0029705107e+06, 
2.3716496185e+00, 1.1082564201e+03, 4.0349663585e+02, 1.0040589848e+06, 
2.3720616946e+00, 1.1086869470e+03, 4.0359356079e+02, 1.0045538674e+06, 
2.3711917339e+00, 1.1066418672e+03, 4.0279585963e+02, 1.0038288150e+06, 
2.3677432885e+00, 1.1032606363e+03, 4.0186066215e+02, 1.0020680728e+06, 
2.3592403183e+00, 1.0969546110e+03, 4.0073953576e+02, 9.9817543181e+05, 
2.3549079850e+00, 1.0932696935e+03, 3.9957683978e+02, 9.9602965430e+05, 
2.3592690314e+00, 1.0964683177e+03, 4.0029295487e+02, 9.9773510023e+05, 
2.3668730684e+00, 1.1012890546e+03, 4.0087500670e+02, 1.0008438307e+06, 
2.3757595514e+00, 1.1102283946e+03, 4.0261218193e+02, 1.0065436252e+06, 
2.3834047356e+00, 1.1193905310e+03, 4.0611529621e+02, 1.0111520682e+06, 
2.3717576528e+00, 1.1139228633e+03, 4.0645812951e+02, 1.0072239401e+06, 
2.3570488871e+00, 1.0951037946e+03, 4.0190678748e+02, 9.9599890484e+05, 
2.3519212710e+00, 1.1045660982e+03, 3.9592604493e+02, 9.9540912655e+05, 
2.0382841303e+00, 1.0566875787e+03, 2.8400627418e+02, 8.7030448212e+05, 
1.4731298521e+00, 9.0734989800e+02, 1.0054453359e+02, 6.4934666649e+05, 
1.2297392612e+00, 8.3709743707e+02, 2.1502193285e+01, 5.5782338789e+05, 
1.1711506209e+00, 8.1158111013e+02, 3.3901742254e+00, 5.3484195133e+05, 
1.1597806749e+00, 8.0596026527e+02, 1.0233144291e-01, 5.3014969348e+05, 
1.1594524027e+00, 8.0579082921e+02, 9.3467572095e-03, 5.3001207372e+05, 
1.1594265556e+00, 8.0577920455e+02, 1.7464139335e-03, 5.3000243286e+05, 
1.1594219002e+00, 8.0577705485e+02, 4.6345556174e-04, 5.3000065777e+05, 
1.1594203465e+00, 8.0577627388e+02, 1.5942482527e-05, 5.3000002120e+05, 
