1,
0, 5966, 4,
1.1594202899e+00, 8.0577624830e+02, 3.6858026552e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.1165679786e-12, 5.3000000000e+05, 
1.7342434740e+00, 1.0368346041e+03, 2.2206337002e+02, 7.6588235825e+05, 
1.1594302456e+00, 8.0578071621e+02, 3.2048855335e-03, 5.3000438575e+05, 
1.5812387254e+00, 9.8766592828e+02, 1.4770229495e+02, 7.0336251573e+05, 
1.1594202375e+00, 8.0577620794e+02, -2.6285341989e-06, 5.2999997530e+05, 
1.1593780371e+00, 8.0575488450e+02, -1.2902425229e-02, 5.2998227528e+05, 
1.1594204088e+00, 8.0577630867e+02, 3.5609548805e-05, 5.3000004965e+05, 
1.1594207660e+00, 8.0577648342e+02, 1.5117154649e-04, 5.3000019865e+05, 
1.1593886560e+00, 8.0576040094e+02, -1.0087359899e-02, 5.2998675651e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.8302027648e-10, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.9840947051e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.3582647619e-14, 5.3000000000e+05, 
1.1594202893e+00, 8.0577624802e+02, -2.2838586041e-07, 5.2999999975e+05, 
1.1594202897e+00, 8.0577624823e+02, -3.2939493175e-08, 5.2999999995e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.1133246461e-13, 5.3000000000e+05, 
1.1594214857e+00, 8.0577697805e+02, 1.1888370860e-06, 5.3000050125e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.2322426125e-09, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.7340267493e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.3964216021e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4315867543e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.1314467764e-13, 5.3000000000e+05, 
1.1594219541e+00, 8.0577710636e+02, 5.1748518522e-04, 5.3000070148e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.9313587200e-11, 5.3000000000e+05, 
1.7614007076e+00, 1.0452009689e+03, 2.3957107449e+02, 7.7528263540e+05, 
1.1554810674e+00, 8.0351639697e+02, -1.1178333849e+00, 5.2823612187e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.3832697112e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.7701431726e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.1840669301e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.6908764066e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.5013389350e-10, 5.3000000000e+05, 
1.1607397315e+00, 8.0639729616e+02, 4.0567772287e-01, 5.3054648202e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.0108694825e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.3071881020e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.1135513715e-09, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.6010470303e-13, 5.3000000000e+05, 
1.1605405559e+00, 8.0630124812e+02, 3.7184975440e-01, 5.3046812777e+05, 
1.7980780592e+00, 1.0155757325e+03, 3.3422490400e+02, 7.8952596985e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.4861058855e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 8.2735738699e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.1314952456e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.0866926474e-14, 5.3000000000e+05, 
1.1594202897e+00, 8.0577624822e+02, -4.3928172230e-08, 5.2999999994e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.0186805879e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.6337020735e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.5898490238e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 7.5261453114e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.4294536752e-09, 5.3000000000e+05, 
1.7178334513e+00, 1.0343649265e+03, 2.1426866337e+02, 7.6070523158e+05, 
1.1498742416e+00, 8.0145056387e+02, -3.0796578664e+00, 5.2688923892e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.2046625854e-14, 5.3000000000e+05, 
1.1594189631e+00, 8.0577562059e+02, -3.8987938518e-04, 5.2999945195e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.0750843599e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -8.5750787963e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.1184536443e-09, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.5088628653e-13, 5.3000000000e+05, 
