0, 3080, 4,
1.1594202899e+00, 8.0577624830e+02, -4.5124105949e-10, 5.3000000000e+05, 
1.2163128514e+00, 8.2346299324e+02, 2.9097084005e+01, 5.5279873690e+05, 
1.8108008371e+00, 1.0176979707e+03, 3.5958076335e+02, 7.9466042904e+05, 
1.1594202899e+00, 8.0577624830e+02, 8.9053902951e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.7649891400e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624829e+02, -2.9693080311e-09, 5.2999999999e+05, 
1.1594202899e+00, 8.0577624821e+02, -1.3701650244e-09, 5.2999999993e+05, 
1.1594202923e+00, 8.0577624777e+02, 3.7380062834e-07, 5.2999999943e+05, 
1.1594203135e+00, 8.0577625203e+02, 2.7317480247e-06, 5.3000000262e+05, 
1.1594203380e+00, 8.0577616739e+02, -2.1553508503e-05, 5.2999994011e+05, 
1.1594202757e+00, 8.0577549138e+02, -3.0314029747e-04, 5.2999946450e+05, 
1.1594293725e+00, 8.0577148312e+02, 6.7699471077e-03, 5.2999615609e+05, 
1.3833999197e+00, 8.8959247678e+02, 1.0546242834e+02, 6.2374516210e+05, 
1.6052364854e+00, 9.5377339971e+02, 2.6034769803e+02, 7.1918283948e+05, 
1.5936347174e+00, 9.5570001095e+02, 2.1934382061e+02, 7.0958521363e+05, 
1.7338078033e+00, 9.9793114616e+02, 2.8784133147e+02, 7.6357495403e+05, 
1.7064661432e+00, 9.7601685475e+02, 3.0584095608e+02, 7.4978729896e+05, 
1.7456339556e+00, 9.9641375602e+02, 3.0139352284e+02, 7.6803113271e+05, 
1.7757087815e+00, 1.0013672381e+03, 3.2329366571e+02, 7.8004378378e+05, 
1.7561043649e+00, 9.9229303565e+02, 3.2844120138e+02, 7.7134043889e+05, 
1.7571482121e+00, 9.9628677564e+02, 3.2668435575e+02, 7.7243106016e+05, 
1.7616999785e+00, 9.9815065808e+02, 3.3269174390e+02, 7.7405240127e+05, 
1.7623689593e+00, 9.9768585887e+02, 3.3460704964e+02, 7.7547851132e+05, 
1.7778301892e+00, 1.0015867526e+03, 3.4085722855e+02, 7.8118605920e+05, 
1.7755752611e+00, 1.0007563958e+03, 3.4077510361e+02, 7.8089476285e+05, 
1.7914718492e+00, 1.0071903029e+03, 3.4328317712e+02, 7.8688972658e+05, 
1.7873680504e+00, 1.0056482725e+03, 3.4491717387e+02, 7.8526520681e+05, 
1.7829772545e+00, 1.0036031777e+03, 3.4579366517e+02, 7.8300252018e+05, 
1.7897446845e+00, 1.0073359064e+03, 3.4592031071e+02, 7.8590895134e+05, 
1.7904824101e+00, 1.0057551301e+03, 3.5020504586e+02, 7.8596105877e+05, 
1.7869665768e+00, 1.0058719642e+03, 3.4783625194e+02, 7.8489724886e+05, 
1.7997553931e+00, 1.0121763427e+03, 3.4965969307e+02, 7.9025191609e+05, 
1.7938911624e+00, 1.0081736988e+03, 3.5161559635e+02, 7.8758055309e+05, 
1.8060338842e+00, 1.0152060817e+03, 3.5051832724e+02, 7.9216820042e+05, 
1.8030736114e+00, 1.0100744221e+03, 3.6222805440e+02, 7.9026401885e+05, 
1.7987216587e+00, 1.0128099759e+03, 3.5465118112e+02, 7.8968436455e+05, 
1.8052870415e+00, 1.0145004265e+03, 3.5619346542e+02, 7.9214647555e+05, 
1.8085264269e+00, 1.0163620005e+03, 3.5414080962e+02, 7.9317067988e+05, 
1.8149731389e+00, 1.0164471216e+03, 3.5894976742e+02, 7.9548478114e+05, 
1.8151781934e+00, 1.0178965645e+03, 3.5896782643e+02, 7.9599023331e+05, 
1.8079905646e+00, 1.0152000968e+03, 3.5964799021e+02, 7.9329399720e+05, 
1.8067353726e+00, 1.0155173539e+03, 3.5781137213e+02, 7.9284391213e+05, 
1.8146934537e+00, 1.0189357022e+03, 3.5924917793e+02, 7.9618012050e+05, 
1.8074971556e+00, 1.0143028057e+03, 3.6135646344e+02, 7.9311449275e+05, 
1.8067686622e+00, 1.0148876502e+03, 3.5961700709e+02, 7.9288285542e+05, 
1.8124650772e+00, 1.0183493858e+03, 3.5965534108e+02, 7.9537921980e+05, 
1.8239507069e+00, 1.0328098477e+03, 3.4399137325e+02, 8.0040684969e+05, 
1.8280996527e+00, 1.0465127986e+03, 3.2397435679e+02, 8.0307516945e+05, 
1.8163364527e+00, 1.0494913438e+03, 3.0409668021e+02, 7.9912859968e+05, 
1.7958794700e+00, 1.0463434606e+03, 2.8268694700e+02, 7.9041664627e+05, 
1.7839194821e+00, 1.0449729708e+03, 2.6702647615e+02, 7.8503313421e+05, 
1.7745708611e+00, 1.0465469807e+03, 2.5160644784e+02, 7.8078351906e+05, 
1.7548366451e+00, 1.0417720906e+03, 2.3543174724e+02, 7.7326106780e+05, 
1.7337380633e+00, 1.0355453180e+03, 2.2152970347e+02, 7.6571574145e+05, 
1.7077258960e+00, 1.0303266740e+03, 2.0602485727e+02, 7.5567772783e+05, 
1.6875314483e+00, 1.0265130472e+03, 1.9368359892e+02, 7.4754921840e+05, 
1.6719909485e+00, 1.0227803345e+03, 1.8235705343e+02, 7.4145324796e+05, 
1.6483926489e+00, 1.0171472405e+03, 1.6962159352e+02, 7.3282046305e+05, 
1.4557539292e+00, 9.3586003237e+02, 9.9265843512e+01, 6.5163169900e+05, 
1.2059715954e+00, 8.2798419947e+02, 1.4289339890e+01, 5.5024244365e+05, 
1.1481810424e+00, 8.0042060931e+02, -3.2288279507e+00, 5.2573619924e+05, 
1.1606027051e+00, 8.0630445834e+02, 3.5415515539e-01, 5.3043362000e+05, 
1.1601297540e+00, 8.0615519284e+02, 2.2158032987e-01, 5.3030898074e+05, 
1.1595065823e+00, 8.0582252083e+02, 2.5023435222e-02, 5.3003629039e+05, 
1.1593299433e+00, 8.0573042011e+02, -2.8080027181e-02, 5.2996204260e+05, 
1.1594012924e+00, 8.0576640634e+02, -5.7624713307e-03, 5.2999198531e+05, 
1.1594308516e+00, 8.0578174584e+02, 3.1527950962e-03, 5.3000446172e+05, 
1.1594162886e+00, 8.0577422128e+02, -1.2297444132e-03, 5.2999832065e+05, 
1.1594202340e+00, 8.0577621744e+02, -7.7420005245e-06, 5.2999997606e+05, 
1.1594210306e+00, 8.0577663464e+02, 2.2555715057e-04, 5.3000031311e+05, 
1.1594201676e+00, 8.0577618452e+02, -3.9068887285e-05, 5.2999994832e+05, 
1.1594202743e+00, 8.0577624039e+02, -4.5810263946e-06, 5.2999999348e+05, 
1.1594202940e+00, 8.0577625040e+02, 1.3110839965e-06, 5.3000000173e+05, 
1.1594202903e+00, 8.0577624852e+02, 1.1914094443e-07, 5.3000000018e+05, 
1.1594202896e+00, 8.0577624815e+02, -9.0056349101e-08, 5.2999999988e+05, 
1.1594202898e+00, 8.0577624825e+02, -2.4645156117e-08, 5.2999999997e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.6939396028e-10, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.6828141477e-09, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.8217231191e-10, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.7378104790e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.5098049555e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.4579986362e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.4022749591e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.9562392429e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 9.8215690150e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.8586192832e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.3857373404e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.4727019760e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -8.2340899159e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.7355973721e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.8725787885e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.1189736111e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.3598006218e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.1993883840e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 7.7306402754e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.7685079119e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.0350062996e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.3769718072e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.9749219401e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -8.2806515984e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -8.7334278999e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.1067353482e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.1356812654e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.4156603245e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.9843566937e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.6869636317e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.4377251159e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.1070289526e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.6552117669e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.2889345157e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.7671101707e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.2388231656e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.3317606287e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.6071114759e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.3219517205e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.8240885672e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.3928287651e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -6.3783529236e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.0933495295e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.0825741397e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.4915017975e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.8598096911e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.6166695269e-13, 5.3000000000e+05, 
