1,
0, 1499, 4,
1.1631532484e+00, 8.0761191194e+02, 1.0516364819e+00, 5.3149134028e+05, 
1.1593949215e+00, 8.0576297069e+02, -7.4547979481e-03, 5.2998923456e+05, 
2.4075915310e+00, 1.1259068982e+03, 3.9557496535e+02, 1.0216889366e+06, 
1.1594224495e+00, 8.0577729867e+02, 5.9646529364e-04, 5.3000086037e+05, 
1.1594202898e+00, 8.0577624828e+02, -9.8343583874e-09, 5.2999999999e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.9017256964e-13, 5.3000000000e+05, 
2.3759451874e+00, 1.1328228198e+03, 4.0463918518e+02, 1.0124779644e+06, 
1.1594202902e+00, 8.0577624848e+02, 5.3414268233e-08, 5.3000000015e+05, 
1.1594148421e+00, 8.0577347541e+02, -1.5093076723e-03, 5.2999774401e+05, 
1.4305383120e+00, 8.5897630720e+02, 9.9078737990e+01, 6.2371093388e+05, 
2.3316702007e+00, 9.9227964026e+02, 3.7550348442e+02, 9.7595199743e+05, 
1.1594202908e+00, 8.0577624879e+02, 2.2803713914e-07, 5.3000000041e+05, 
1.1416681704e+00, 8.1217738031e+02, -6.0997284380e+00, 5.3081076542e+05, 
1.1584605069e+00, 8.0516496052e+02, -2.8388964537e-01, 5.2950525866e+05, 
2.4075283281e+00, 1.0956129027e+03, 4.0770806411e+02, 1.0090294474e+06, 
2.3465664652e+00, 1.0576641954e+03, 3.9476238837e+02, 9.8739992806e+05, 
1.1594202908e+00, 8.0577624867e+02, 3.2436029904e-07, 5.3000000032e+05, 
2.4819453090e+00, 1.1227312488e+03, 4.0955413795e+02, 1.0489731398e+06, 
1.1607454848e+00, 8.0649421459e+02, 3.8975322373e-01, 5.3058312135e+05, 
1.1594573198e+00, 8.0579430335e+02, 9.5862330497e-03, 5.3001482793e+05, 
1.4834714633e+00, 9.2227190048e+02, 9.5057284118e+01, 6.5773987262e+05, 
1.1594200999e+00, 8.0577619674e+02, -5.6121127233e-05, 5.2999995262e+05, 
1.1594202911e+00, 8.0577624893e+02, 3.4015567840e-07, 5.3000000051e+05, 
1.1594199825e+00, 8.0577608746e+02, -9.1720193294e-05, 5.2999986973e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.0943257646e-13, 5.3000000000e+05, 
1.1305669124e+00, 7.8543117180e+02, -7.5056835919e+00, 5.1384176061e+05, 
1.1594202898e+00, 8.0577624827e+02, -9.6516327407e-09, 5.2999999998e+05, 
1.1364569995e+00, 7.9335390001e+02, -7.0371810670e+00, 5.2033882984e+05, 
2.4361522340e+00, 1.1069473226e+03, 4.1518860443e+02, 1.0311950773e+06, 
1.1594202898e+00, 8.0577624829e+02, -1.5355138469e-09, 5.3000000000e+05, 
1.1594245208e+00, 8.0577835036e+02, 1.1810632762e-03, 5.3000171780e+05, 
1.1598195202e+00, 8.0598021261e+02, 1.2197946988e-01, 5.3016583620e+05, 
1.1619260275e+00, 8.0697950690e+02, 5.9828189825e-01, 5.3099194320e+05, 
1.1594168768e+00, 8.0577438323e+02, -1.4083491711e-03, 5.2999849883e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.0716730745e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.7747969373e-11, 5.3000000000e+05, 
1.1594202898e+00, 8.0577624828e+02, -1.3784293565e-08, 5.2999999999e+05, 
1.1595946389e+00, 8.0586990928e+02, 5.1181688821e-02, 5.3007558833e+05, 
1.1594202901e+00, 8.0577624839e+02, 5.7233388125e-08, 5.3000000008e+05, 
1.3134880806e+00, 8.7351545839e+02, 4.6306701946e+01, 5.9476481790e+05, 
1.1594202901e+00, 8.0577624840e+02, 6.1459152501e-08, 5.3000000009e+05, 
1.1594228293e+00, 8.0577754155e+02, 7.5125208290e-04, 5.3000105210e+05, 
2.5304230262e+00, 1.1511890191e+03, 4.3372067384e+02, 1.0598474428e+06, 
1.1594153806e+00, 8.0577372337e+02, -1.3692309146e-03, 5.2999794763e+05, 
1.1594202899e+00, 8.0577624830e+02, -7.7231731259e-10, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.8027600657e-10, 5.3000000000e+05, 
2.3441957505e+00, 1.0863011831e+03, 3.9666094118e+02, 9.8948134453e+05, 
1.1528043160e+00, 8.0213992349e+02, -3.7933067771e+00, 5.2741311908e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.1038193503e-11, 5.3000000000e+05, 
1.1275725689e+00, 7.8981177196e+02, -7.9062593423e+00, 5.1728293340e+05, 
1.1594202899e+00, 8.0577624832e+02, 1.2998198532e-08, 5.3000000002e+05, 
1.1594202777e+00, 8.0577624263e+02, -3.4986711164e-06, 5.2999999533e+05, 
2.3617279272e+00, 1.1268485198e+03, 3.7411351297e+02, 1.0114045578e+06, 
1.1594202875e+00, 8.0577624701e+02, -8.0801985813e-07, 5.2999999896e+05, 
1.1608904166e+00, 8.0618619079e+02, -1.8404896904e-01, 5.3025802732e+05, 
1.1594202897e+00, 8.0577624820e+02, -5.4969526579e-08, 5.2999999992e+05, 
1.1594202895e+00, 8.0577624813e+02, -4.9375853734e-07, 5.2999999986e+05, 
1.1594202888e+00, 8.0577624779e+02, -2.8886496775e-07, 5.2999999958e+05, 
1.1594202678e+00, 8.0577623577e+02, -6.1849383854e-06, 5.2999998995e+05, 
1.1594202889e+00, 8.0577624787e+02, -3.1178393008e-07, 5.2999999965e+05, 
1.1594202899e+00, 8.0577624830e+02, -8.1472410138e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.7446937711e-10, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.2534841007e-10, 5.3000000000e+05, 
2.5200685187e+00, 1.1551434670e+03, 4.3043681268e+02, 1.0540625331e+06, 
1.1594211690e+00, 8.0577669097e+02, 2.1251602604e-04, 5.3000036071e+05, 
1.1594115996e+00, 8.0576927038e+02, -4.0706036834e-02, 5.2998689061e+05, 
1.1594012162e+00, 8.0576615594e+02, -5.2777889313e-03, 5.2999183611e+05, 
1.1576500357e+00, 8.0473302512e+02, 3.1628295511e-02, 5.2919191635e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.1976584724e-10, 5.3000000000e+05, 
1.1594203066e+00, 8.0577625606e+02, 4.1771803315e-06, 5.3000000640e+05, 
