0, 799, 4,
1.1594350910e+00, 8.0576560808e+02, -6.0674318276e-04, 5.2998823813e+05, 
1.3922396849e+00, 8.6214914306e+02, 5.7244058865e+01, 6.2151994116e+05, 
2.1989758448e+00, 1.0382024864e+03, 3.7294257954e+02, 9.3137715289e+05, 
1.1594305677e+00, 8.0578165911e+02, -1.3344672328e-03, 5.3000438082e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.9682216015e-15, 5.3000000000e+05, 
1.1594393048e+00, 8.0569712653e+02, -2.2631188107e-02, 5.2992065219e+05, 
1.1591914074e+00, 8.0497458785e+02, -1.7331778895e-01, 5.2923718506e+05, 
1.1813985812e+00, 8.1005950555e+02, 4.5119843176e+00, 5.3247532911e+05, 
2.0055708157e+00, 1.0179379888e+03, 2.5085503997e+02, 8.6286570970e+05, 
2.2862961607e+00, 1.0470409587e+03, 3.7101666349e+02, 9.6984817914e+05, 
2.3736773065e+00, 1.0571875919e+03, 3.7353889101e+02, 9.9865874967e+05, 
2.3653344779e+00, 1.0559007722e+03, 3.8931480421e+02, 9.9364636703e+05, 
2.2844687242e+00, 1.0434898384e+03, 3.7862760743e+02, 9.6378218978e+05, 
2.2997170677e+00, 1.0422873969e+03, 3.7856385181e+02, 9.6929034404e+05, 
2.3255478032e+00, 1.0477096211e+03, 3.8035104681e+02, 9.7891838029e+05, 
2.3264318628e+00, 1.0532687127e+03, 3.8405977911e+02, 9.7949570169e+05, 
2.3146666337e+00, 1.0503689413e+03, 3.8199714761e+02, 9.7495635803e+05, 
2.3183600268e+00, 1.0508128222e+03, 3.8252795871e+02, 9.7625551190e+05, 
2.3078089235e+00, 1.0519734828e+03, 3.8409583357e+02, 9.7244043838e+05, 
2.2939129721e+00, 1.0511341999e+03, 3.8250747870e+02, 9.6765383665e+05, 
2.3630698092e+00, 1.0611758021e+03, 3.8048427908e+02, 9.9344838495e+05, 
2.5035615834e+00, 1.0730877187e+03, 3.8737845364e+02, 1.0442237422e+06, 
2.4900452541e+00, 1.0669851449e+03, 3.9116399904e+02, 1.0379784269e+06, 
2.3396712509e+00, 1.0513511099e+03, 3.9064150143e+02, 9.8301138687e+05, 
2.2165034402e+00, 1.0369106890e+03, 3.8437622207e+02, 9.3755503198e+05, 
2.2591310490e+00, 1.0603456699e+03, 3.7002170086e+02, 9.5478442020e+05, 
2.3065178374e+00, 1.0907887496e+03, 3.7577471840e+02, 9.7755143216e+05, 
2.3174292603e+00, 1.1134560937e+03, 3.8992069492e+02, 9.8731891635e+05, 
2.3615382731e+00, 1.1293558926e+03, 4.0580963638e+02, 1.0003875038e+06, 
2.4010799552e+00, 1.1534743084e+03, 4.1785982853e+02, 1.0181521367e+06, 
2.3578379652e+00, 1.1070007441e+03, 4.0469477371e+02, 1.0049523094e+06, 
2.3032170870e+00, 1.0290709959e+03, 3.8435189649e+02, 9.7212526810e+05, 
2.3479240926e+00, 1.0771121199e+03, 4.0449374292e+02, 9.8868253887e+05, 
2.4035567483e+00, 1.1130632422e+03, 4.1285965547e+02, 1.0162657732e+06, 
2.4397599087e+00, 1.1128524878e+03, 4.1116329300e+02, 1.0328681203e+06, 
